[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
10.5,1.214701282,0.894836,93.4763,1.214701282,0.894836,93.4763,-17.91326872,5.016936,133.875,21.44803128,-2.201164,132.966,-15.27686872,1.144336,83.5294,18.69643128,1.533436,83.5242,-15.52376872,-5.662664,46.3287,15.10463128,13.105936,46.6949,-14.44446872,-30.792714,18.5249,11.75043128,11.826636,9.31718,-15.07506872,-29.886584,6.79633,14.21793128,20.989336,3.93285
11,1.282321282,0.924836,93.516,1.282321282,0.924836,93.516,-17.84016872,4.965836,133.938,21.55703128,-2.117364,133.005,-15.20596872,1.208036,83.5409,18.78803128,1.561436,83.5741,-15.55886872,-5.090264,46.2512,15.14853128,12.871636,46.6735,-14.44066872,-30.607434,18.8779,11.74443128,11.316736,9.31034,-15.06506872,-30.024484,7.12641,14.23363128,20.468936,3.92882
11.5,1.346111282,0.950536,93.5592,1.346111282,0.950536,93.5592,-17.77246872,4.909336,134.005,21.66173128,-2.032964,133.053,-15.14066872,1.269936,83.5523,18.87813128,1.574536,83.6253,-15.59356872,-4.509264,46.1825,15.18593128,12.608936,46.6502,-14.43276872,-30.394604,19.2298,11.73473128,10.799536,9.3029,-15.05656872,-30.122214,7.46757,14.24353128,19.945236,3.92267
12,1.410301282,0.974436,93.6044,1.410301282,0.974436,93.6044,-17.70716872,4.849336,134.071,21.76403128,-1.947964,133.104,-15.08006872,1.333036,83.5647,18.98003128,1.577536,83.6812,-15.62496872,-3.926064,46.1215,15.22203128,12.333636,46.6278,-14.42396872,-30.161694,19.5755,11.72493128,10.282136,9.29613,-15.04326872,-30.178934,7.80713,14.25293128,19.420536,3.91636
12.5,1.472401282,0.993836,93.6518,1.472401282,0.993836,93.6518,-17.64226872,4.780236,134.139,21.86283128,-1.862964,133.159,-15.03056872,1.393136,83.5791,19.08423128,1.565536,83.7369,-15.64926872,-3.337964,46.0749,15.25173128,12.034136,46.6064,-14.41096872,-29.890484,19.9114,11.71553128,9.761436,9.28957,-15.02356872,-30.156294,8.14843,14.26053128,18.892636,3.90666
13,1.531391282,1.009736,93.7016,1.531391282,1.009736,93.7016,-17.58156872,4.707836,134.208,21.95783128,-1.778664,133.221,-14.98506872,1.451636,83.5938,19.18463128,1.540536,83.7941,-15.67106872,-2.746464,46.038,15.27773128,11.714736,46.585,-14.39376872,-29.595684,20.2392,11.70313128,9.237936,9.28264,-15.00246872,-30.090964,8.48933,14.26473128,18.364036,3.89501
13.5,1.589401282,1.023936,93.753,1.589401282,1.023936,93.753,-17.52236872,4.632036,134.277,22.04933128,-1.694564,133.286,-14.94496872,1.512536,83.6099,19.28943128,1.504736,83.8533,-15.68896872,-2.154364,46.012,15.30263128,11.382836,46.5662,-14.37556872,-29.275974,20.553,11.68923128,8.713336,9.27664,-14.97516872,-29.968874,8.81931,14.26933128,17.833236,3.88372
14,1.644801282,1.034936,93.8066,1.644801282,1.034936,93.8066,-17.46446872,4.552336,134.345,22.13793128,-1.611164,133.355,-14.91406872,1.570036,83.6287,19.39153128,1.456236,83.9147,-15.70136872,-1.565464,46.0038,15.32303128,11.036836,46.5509,-14.35286872,-28.920094,20.8404,11.67673128,8.183936,9.27321,-14.93906872,-29.764254,9.12303,14.27303128,17.298736,3.87366
14.5,1.697591282,1.043536,93.8616,1.697591282,1.043536,93.8616,-17.40896872,4.471436,134.414,22.22353128,-1.529664,133.427,-14.88516872,1.625636,83.6482,19.48593128,1.398636,83.9763,-15.71046872,-0.976164,46.0047,15.34203128,10.678336,46.5372,-14.32686872,-28.545264,21.1146,11.66133128,7.654036,9.26919,-14.89986872,-29.517554,9.41654,14.27693128,16.764136,3.86387
15,1.747741282,1.050636,93.918,1.747741282,1.050636,93.918,-17.35606872,4.388136,134.482,22.30563128,-1.449164,133.504,-14.86296872,1.684036,83.6699,19.57643128,1.329936,84.0383,-15.71456872,-0.389464,46.0207,15.35953128,10.308636,46.5277,-14.29966872,-28.139664,21.3633,11.64923128,7.121636,9.26963,-14.85266872,-29.196524,9.6837,14.28193128,16.227236,3.85745
