[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
10.5,0.569526238,-0.093261,103.691,0.569526238,-0.093261,103.691,-20.50393376,0.266439,148.923,22.81526624,-0.427861,147.487,-18.33753376,-1.631961,92.6815,18.51996624,1.506439,91.5804,-14.87213376,-4.895861,52.8383,15.69186624,13.520339,53.1957,-11.05714376,-34.180861,18.7237,10.65986624,15.221439,8.98374,-13.97373376,-30.955061,7.11024,13.58506624,26.321039,3.54648
11,0.621516238,-0.071661,103.761,0.621516238,-0.071661,103.761,-20.42783376,0.217939,149.023,22.89596624,-0.415761,147.539,-18.29133376,-1.560661,92.6897,18.56206624,1.492439,91.6846,-14.89833376,-4.198861,52.7639,15.75896624,13.344039,53.2252,-11.06696376,-33.939661,19.2385,10.66946624,14.666239,8.99208,-13.95083376,-31.172761,7.47632,13.59846624,25.747939,3.56963
11.5,0.671596238,-0.052761,103.831,0.671596238,-0.052761,103.831,-20.35593376,0.164939,149.127,22.97516624,-0.402561,147.596,-18.24903376,-1.496961,92.6975,18.61056624,1.468739,91.7843,-14.93403376,-3.490261,52.6955,15.81986624,13.139639,53.2479,-11.07340376,-33.643461,19.7567,10.67516624,14.100939,8.99783,-13.92303376,-31.313961,7.86637,13.60916624,25.167039,3.59051
12,0.719836238,-0.037461,103.903,0.719836238,-0.037461,103.903,-20.28973376,0.105839,149.232,23.05106624,-0.388661,147.658,-18.20653376,-1.441761,92.7085,18.66696624,1.439239,91.8776,-14.97763376,-2.779661,52.6392,15.87406624,12.900239,53.2614,-11.08225376,-33.290961,20.2718,10.67586624,13.527139,9.00059,-13.89413376,-31.361661,8.27593,13.61836624,24.577539,3.60557
12.5,0.767496238,-0.023161,103.974,0.767496238,-0.023161,103.974,-20.22483376,0.045139,149.336,23.12536624,-0.374261,147.721,-18.16433376,-1.389261,92.7205,18.72706624,1.407639,91.9681,-15.02483376,-2.068861,52.5862,15.92546624,12.651839,53.2726,-11.09132376,-32.921861,20.7861,10.67466624,12.951639,9.00207,-13.86353376,-31.382561,8.69099,13.62736624,23.986039,3.61868
13,0.813476238,-0.011361,104.045,0.813476238,-0.011361,104.045,-20.16423376,-0.018861,149.438,23.19816624,-0.359761,147.783,-18.12463376,-1.343261,92.7344,18.78986624,1.371639,92.0539,-15.07403376,-1.359561,52.5458,15.97166624,12.384239,53.2791,-11.09813376,-32.520261,21.2906,10.67196624,12.372439,9.00215,-13.83203376,-31.339461,9.11125,13.63446624,23.392539,3.62685
13.5,0.858766238,-0.003961,104.115,0.858766238,-0.003961,104.115,-20.10863376,-0.089161,149.536,23.26726624,-0.344861,147.85,-18.08113376,-1.308861,92.7553,18.85916624,1.332439,92.1327,-15.12393376,-0.660361,52.5293,16.01256624,12.080839,53.2772,-11.10667376,-32.066661,21.7727,10.66876624,11.787439,9.0006,-13.79813376,-31.179661,9.52997,13.63926624,22.794539,3.6259
14,0.903106238,0.001139,104.185,0.903106238,0.001139,104.185,-20.05533376,-0.162561,149.629,23.33246624,-0.330461,147.916,-18.03583376,-1.280561,92.7795,18.93076624,1.292539,92.2073,-15.17553376,0.032339,52.5248,16.04986624,11.763639,53.2722,-11.11555376,-31.589761,22.2422,10.66466624,11.200839,8.99808,-13.76193376,-30.964861,9.94564,13.64456624,22.195639,3.62119
14.5,0.946426238,0.005039,104.254,0.946426238,0.005039,104.254,-20.00493376,-0.237461,149.719,23.39676624,-0.316661,147.981,-17.99113376,-1.255661,92.8065,19.00236624,1.251439,92.2798,-15.22553376,0.720639,52.5311,16.08476624,11.438639,53.2657,-11.12347376,-31.098761,22.7001,10.66046624,10.614339,8.99535,-13.72693376,-30.713261,10.3571,13.64916624,21.597539,3.61408
15,0.988996238,0.004239,104.323,0.988996238,0.004239,104.323,-19.95993376,-0.317961,149.8,23.45516624,-0.303961,148.047,-17.94033376,-1.244161,92.8454,19.07536624,1.207939,92.347,-15.26833376,1.390839,52.5748,16.11616624,11.083939,53.2554,-11.13165376,-30.560261,23.1123,10.65916624,10.026139,8.99313,-13.69053376,-30.328961,10.7416,13.65176624,21.000639,3.59996
15.5,1.031136238,0.001039,104.392,1.031136238,0.001039,104.392,-19.91623376,-0.401461,149.876,23.50946624,-0.293161,148.115,-17.88543376,-1.239561,92.8899,19.14706624,1.165039,92.4123,-15.30753376,2.050939,52.6365,16.14666624,10.719139,53.2444,-11.13981376,-30.000761,23.4983,10.65976624,9.437339,8.99147,-13.65223376,-29.880561,11.107,13.65506624,20.404839,3.58412
16,1.072706238,-0.002761,104.461,1.072706238,-0.002761,104.461,-19.87423376,-0.485561,149.949,23.56236624,-0.283261,148.181,-17.82973376,-1.236761,92.9365,19.21806624,1.122239,92.4766,-15.34493376,2.706639,52.7058,16.17636624,10.351539,53.2332,-11.14764376,-29.433761,23.8736,10.66076624,8.849239,8.99005,-13.61433376,-29.409161,11.4648,13.65826624,19.809739,3.56776
16.5,1.112766238,-0.010161,104.531,1.112766238,-0.010161,104.531,-19.83793376,-0.573361,150.013,23.60806624,-0.276361,148.25,-17.76753376,-1.244461,92.9976,19.28356624,1.076939,92.5393,-15.36983376,3.342639,52.8161,16.20566624,9.968039,53.2241,-11.15332376,-28.829261,24.1887,10.66546624,8.262639,8.9906,-13.57863376,-28.818161,11.777,13.66136624,19.218839,3.55048
17,1.152696238,-0.019461,104.602,1.152696238,-0.019461,104.602,-19.80163376,-0.662561,150.073,23.64996624,-0.272161,148.321,-17.70183376,-1.258161,93.0656,19.34496624,1.031239,92.6025,-15.38723376,3.967239,52.9477,16.23656624,9.579839,53.2174,-11.15848376,-28.204461,24.4635,10.67396624,7.675839,8.99266,-13.54143376,-28.160761,12.0522,13.66506624,18.629839,3.5351
