[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOP2,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(R),1.65,72.73,1.156,70.06,0.497,29.94,0.268,15.98,96.15,53.64,24.05,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,,0.024,2.47,0.05,2.47,0.022,1.2,2.32,1.96,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
CV,3.03,,2.064,3.52,10.093,8.24,8.148,7.49,2.41,3.65,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(L),1.65,72.73,0.937,56.74,0.708,43.26,0.18,10.82,96.41,42.62,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.049,,0.056,2.5,0.042,2.5,0.017,1.07,3.63,1.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2.996,,5.997,4.41,5.888,5.78,9.507,9.92,3.77,4.48,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
10.5,-2.552794,-1.149311,95.284348,2.125135,2.283226,96.128906,-25.992876,-0.900219,134.993622,24.359537,4.649605,138.585342,-19.292803,0.106049,84.343826,19.921497,5.023983,82.930771,-18.227501,7.173847,47.662537,17.259245,14.491688,46.639362,-12.692532,3.469643,8.8269,12.429017,12.65432,7.873611,-15.316895,13.021416,2.875095,14.900547,24.282127,2.856009
11,-2.689869,-1.105621,95.336586,2.209586,2.256424,96.239944,-26.251627,-0.86512,134.984711,24.518728,4.730793,138.694427,-19.388765,0.046364,84.379768,20.007116,5.006512,83.004517,-18.26325,6.900845,47.670067,17.304535,14.157909,46.637959,-12.702373,3.042847,8.831306,12.420499,12.198914,7.857395,-15.324968,12.577744,2.888382,14.892803,23.824707,2.847428
11.5,-2.819007,-1.06284,95.379448,2.285616,2.219196,96.343643,-26.483025,-0.820107,134.964417,24.668066,4.79591,138.799866,-19.497662,-0.01622,84.414085,20.090521,4.981991,83.071037,-18.304281,6.617138,47.674889,17.349937,13.820885,46.62764,-12.70642,2.613876,8.827581,12.410666,11.744766,7.842962,-15.341731,12.135735,2.899827,14.88092,23.367134,2.837347
12,-2.943198,-1.018524,95.417526,2.360882,2.175636,96.443283,-26.699261,-0.766621,134.940567,24.819767,4.84877,138.902618,-19.609854,-0.078247,84.446205,20.173355,4.952316,83.131584,-18.346746,6.331696,47.675659,17.396271,13.478848,46.612949,-12.709337,2.182224,8.820666,12.395761,11.290447,7.831763,-15.353876,11.692783,2.906708,14.875679,22.907227,2.831026
12.5,-3.057842,-0.974648,95.445984,2.434704,2.124367,96.538231,-26.880728,-0.700634,134.909409,24.967697,4.8862,139.00238,-19.733366,-0.139793,84.474319,20.253618,4.914032,83.188026,-18.394276,6.045845,47.669743,17.441597,13.13282,46.593784,-12.703316,1.748753,8.807379,12.384778,10.84008,7.826512,-15.372556,11.250622,2.912719,14.871141,22.448151,2.823711
13,-3.163688,-0.92955,95.468887,2.510523,2.069351,96.630386,-27.041153,-0.626923,134.87587,25.122374,4.914387,139.098267,-19.855335,-0.19973,84.498337,20.330961,4.870678,83.239609,-18.438917,5.763256,47.657547,17.477331,12.782379,46.572628,-12.694646,1.312901,8.790977,12.370161,10.390255,7.824183,-15.38728,10.808254,2.915303,14.876625,21.987175,2.820575
13.5,-3.262572,-0.884289,95.483345,2.590708,2.010845,96.720161,-27.174017,-0.545479,134.838272,25.277628,4.929268,139.191986,-19.981014,-0.257412,84.516731,20.405632,4.819683,83.289879,-18.487186,5.493717,47.637733,17.509895,12.427971,46.552689,-12.68046,0.876385,8.773407,12.362533,9.94376,7.830125,-15.403332,10.365662,2.918387,14.890671,21.527061,2.818455
14,-3.352373,-0.839016,95.492645,2.674047,1.952381,96.80761,-27.287426,-0.46183,134.798904,25.439653,4.939949,139.279938,-20.09963,-0.314571,84.530617,20.475487,4.764637,83.336746,-18.531555,5.232605,47.612114,17.527319,12.07103,46.533562,-12.663044,0.439251,8.754614,12.353574,9.497879,7.837296,-15.417655,9.924213,2.920238,14.912807,21.066566,2.818907
14.5,-3.439988,-0.793747,95.495232,2.763121,1.894356,96.893295,-27.391611,-0.380699,134.756454,25.602781,4.940708,139.36618,-20.211962,-0.369316,84.539078,20.542553,4.705013,83.383263,-18.576283,4.992939,47.580212,17.538786,11.709663,46.519684,-12.647709,0.003151,8.740149,12.350748,9.05175,7.851125,-15.427384,9.482292,2.922781,14.948856,20.605614,2.821845
15,-3.522719,-0.74987,95.493881,2.854864,1.839901,96.976051,-27.486851,-0.306023,134.711792,25.769157,4.94228,139.444977,-20.314404,-0.42543,84.543839,20.603849,4.642933,83.427658,-18.618416,4.765335,47.544968,17.537266,11.347733,46.508308,-12.631208,-0.431255,8.727861,12.347967,8.605869,7.864186,-15.437244,9.042542,2.92589,14.985909,20.146187,2.824192
15.5,-3.607484,-0.707108,95.48745,2.948601,1.788033,97.055435,-27.592876,-0.244541,134.663239,25.933805,4.937702,139.521667,-20.402493,-0.47987,84.545311,20.662527,4.579662,83.470482,-18.657814,4.558487,47.505207,17.528061,10.980392,46.503067,-12.623472,-0.863102,8.722903,12.347492,8.155697,7.878801,-15.440258,8.60268,2.929051,15.034647,19.684288,2.828308
16,-3.693552,-0.66695,95.478592,3.043162,1.741402,97.130608,-27.704897,-0.197815,134.611588,26.096401,4.936462,139.590576,-20.481451,-0.537125,84.544609,20.71563,4.515305,83.511955,-18.695757,4.362972,47.465324,17.51339,10.613533,46.500175,-12.619043,-1.291557,8.723358,12.346381,7.705139,7.891181,-15.443644,8.164986,2.933289,15.075476,19.225151,2.82853
16.5,-3.78329,-0.629307,95.466148,3.133167,1.697342,97.19928,-27.839544,-0.170013,134.555145,26.253607,4.932198,139.655899,-20.543699,-0.59391,84.543556,20.767096,4.451477,83.549484,-18.729406,4.179398,47.422115,17.492403,10.240917,46.501534,-12.625972,-1.717056,8.730616,12.343665,7.248699,7.899433,-15.442474,7.727394,2.936897,15.117342,18.761978,2.827613
17,-3.878223,-0.595051,95.452423,3.221049,1.65741,97.262505,-27.990465,-0.160393,134.495621,26.403286,4.929695,139.715195,-20.600071,-0.653805,84.541847,20.814465,4.386749,83.585846,-18.761082,4.000938,47.381405,17.473297,9.868702,46.503777,-12.640701,-2.139183,8.744607,12.338249,6.791061,7.904738,-15.44074,7.290855,2.940839,15.144892,18.301422,2.820975
17.5,-3.975465,-0.564163,95.436676,3.299155,1.618698,97.316307,-28.16205,-0.167839,134.432251,26.546103,4.925743,139.768753,-20.644144,-0.714897,84.541924,20.861616,4.321625,83.616486,-18.788973,3.822174,47.338478,17.453291,9.492393,46.506985,-12.664721,-2.559563,8.762279,12.329271,6.329689,7.903375,-15.439181,6.853874,2.944031,15.159466,17.836662,2.809753
18,-4.075924,-0.536716,95.420227,3.37157,1.580616,97.364052,-28.346724,-0.188446,134.368027,26.677481,4.918137,139.819717,-20.685791,-0.778263,84.54229,20.907944,4.254269,83.645706,-18.812725,3.638531,47.298958,17.43849,9.115997,46.509235,-12.69765,-2.97879,8.785031,12.316761,5.866402,7.8994,-15.436372,6.416111,2.946777,15.15906,17.372719,2.793692
18.5,-4.174855,-0.512402,95.403442,3.43334,1.54195,97.401932,-28.536188,-0.21719,134.303787,26.802996,4.907967,139.863998,-20.723791,-0.844757,84.544571,20.954567,4.183647,83.669617,-18.834229,3.444248,47.258976,17.42894,8.739559,46.510086,-12.734935,-3.398941,8.807731,12.300648,5.403435,7.890719,-15.43727,5.976536,2.949162,15.137796,16.905914,2.771928
19,-4.270316,-0.491142,95.386353,3.48674,1.500294,97.434006,-28.723475,-0.248127,134.243118,26.916391,4.888039,139.9086,-20.761526,-0.912766,84.547348,21.003757,4.108219,83.691742,-18.849947,3.23526,47.22242,17.423946,8.363407,46.508533,-12.777014,-3.821465,8.831841,12.282616,4.938728,7.881676,-15.437712,5.534515,2.951314,15.106939,16.43763,2.74834
19.5,-4.35816,-0.47187,95.370468,3.531919,1.456566,97.458321,-28.889837,-0.274464,134.188873,27.024364,4.861919,139.947861,-20.803133,-0.985573,84.55011,21.054028,4.026192,83.711189,-18.864189,3.009819,47.187992,17.426914,7.992275,46.505299,-12.818002,-4.248367,8.853328,12.263336,4.477039,7.871907,-15.441303,5.089085,2.953377,15.05698,15.968117,2.721169
20,-4.436679,-0.454819,95.354942,3.568596,1.407978,97.478249,-29.037577,-0.291443,134.142914,27.123018,4.821651,139.988556,-20.845793,-1.059952,84.553009,21.108141,3.936935,83.728867,-18.872948,2.765141,47.15654,17.432238,7.623405,46.499203,-12.855934,-4.680664,8.872481,12.244683,4.01445,7.865771,-15.447043,4.640247,2.956826,15.008518,15.495453,2.696186
20.5,-4.501137,-0.438564,95.341682,3.600691,1.356773,97.493866,-29.13942,-0.292789,134.110352,27.214911,4.770626,140.026733,-20.894323,-1.1399,84.55336,21.164747,3.838966,83.747185,-18.879839,2.502594,47.13018,17.443977,7.263531,46.49221,-12.887732,-5.12027,8.888416,12.228098,3.554558,7.862465,-15.452306,4.186954,2.960266,14.951006,15.022522,2.67201
21,-4.553931,-0.423683,95.329552,3.626652,1.301277,97.507301,-29.212706,-0.278694,134.088943,27.301451,4.703941,140.065582,-20.943968,-1.222439,84.552872,21.223589,3.732933,83.764328,-18.882307,2.222519,47.106247,17.456209,6.909107,46.483089,-12.910191,-5.566555,8.900284,12.213463,3.09428,7.866342,-15.460254,3.730415,2.965849,14.908075,14.545883,2.653274
21.5,-4.589623,-0.409058,95.320084,3.650798,1.243717,97.51944,-29.229723,-0.244877,134.08522,27.37879,4.623062,140.104309,-20.995623,-1.309948,84.548538,21.286518,3.618328,83.784149,-18.881615,1.926437,47.089352,17.470749,6.565155,46.473373,-12.922486,-6.021084,8.910115,12.203259,2.634003,7.874676,-15.464465,3.269279,2.97163,14.869183,14.068939,2.639646
22,-4.61501,-0.395435,95.312164,3.672175,1.184147,97.531387,-29.218201,-0.197578,134.092529,27.452974,4.527462,140.141861,-21.046814,-1.401127,84.54248,21.348341,3.496986,83.80365,-18.878027,1.618172,47.074486,17.485138,6.229744,46.462997,-12.923547,-6.481548,8.916546,12.193686,2.172874,7.890684,-15.468751,2.806,2.978293,14.853912,13.588848,2.632412
22.5,-4.625844,-0.382492,95.306572,3.692749,1.123817,97.54332,-29.161936,-0.135876,134.11644,27.516474,4.416885,140.179688,-21.09347,-1.495525,84.533417,21.414955,3.369568,83.825478,-18.869053,1.297028,47.066273,17.497871,5.903759,46.450951,-12.912967,-6.948559,8.922976,12.188598,1.708908,7.910742,-15.468172,2.338818,2.985023,14.852795,13.107849,2.63217
23,-4.629895,-0.370686,95.302208,3.712858,1.063931,97.555771,-29.086014,-0.069065,134.1483,27.575655,4.293537,140.214493,-21.13669,-1.593414,84.522568,21.477737,3.238247,83.847282,-18.858845,0.969467,47.059555,17.51079,5.588024,46.439716,-12.893851,-7.419304,8.928223,12.180856,1.243183,7.934862,-15.463597,1.870712,2.989907,14.874804,12.624931,2.636512
