[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOP2,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(R),1.65,72.73,1.156,70.06,0.497,29.94,0.268,15.98,96.15,53.64,24.05,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,,0.024,2.47,0.05,2.47,0.022,1.2,2.32,1.96,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
CV,3.03,,2.064,3.52,10.093,8.24,8.148,7.49,2.41,3.65,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(L),1.65,72.73,0.937,56.74,0.708,43.26,0.18,10.82,96.41,42.62,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.049,,0.056,2.5,0.042,2.5,0.017,1.07,3.63,1.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2.996,,5.997,4.41,5.888,5.78,9.507,9.92,3.77,4.48,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
56,1.941717,2.437298,96.009689,-0.076041,-1.744045,94.273819,-18.030468,6.093388,137.979385,20.408133,-3.652481,138.362122,-16.295366,-2.61235,86.078926,19.324692,-0.827564,81.960686,-17.105148,-10.447601,49.895535,16.24674,-8.542744,44.86475,-10.861043,-32.317062,16.742344,10.840505,-28.036505,11.041804,-14.965569,-27.794666,6.893173,14.867243,-19.008154,2.724561
56.5,2.048083,2.424515,96.128021,-0.234947,-1.729435,94.2995,-17.856153,6.158031,138.119995,20.154737,-3.614346,138.437317,-16.188845,-2.604233,86.254311,19.20303,-0.738903,81.985313,-17.135386,-10.464104,50.072708,16.291397,-8.43256,44.879841,-10.870908,-32.351997,16.927908,10.859936,-28.332676,11.305662,-15.100823,-27.94887,7.093169,14.871468,-19.472609,2.745774
57,2.145499,2.402794,96.237228,-0.391016,-1.71106,94.332764,-17.697447,6.20623,138.249893,19.899952,-3.573856,138.517303,-16.094782,-2.599724,86.426514,19.075294,-0.641045,82.023102,-17.152405,-10.511551,50.251377,16.34844,-8.292278,44.902397,-10.92507,-32.337208,17.068045,10.882758,-28.605164,11.589179,-15.29858,-28.018795,7.269955,14.87678,-19.926216,2.773618
57.5,2.24105,2.376637,96.343369,-0.545673,-1.690201,94.372841,-17.536171,6.245529,138.378937,19.634619,-3.535992,138.606857,-16.002239,-2.59798,86.596542,18.951237,-0.537785,82.074181,-17.170877,-10.568737,50.433712,16.420137,-8.112667,44.929092,-11.001531,-32.299057,17.186674,10.909433,-28.849384,11.891565,-15.527886,-28.052557,7.43659,14.877604,-20.371675,2.810827
58,2.333572,2.343826,96.441978,-0.697409,-1.665825,94.420776,-17.371939,6.271976,138.504349,19.364414,-3.497047,138.702652,-15.922716,-2.603428,86.763504,18.826773,-0.426819,82.138283,-17.180819,-10.641991,50.614388,16.50214,-7.896976,44.963505,-11.123858,-32.202209,17.261486,10.94767,-29.062805,12.214399,-15.805791,-27.994465,7.571405,14.882296,-20.802828,2.860919
58.5,2.422354,2.306763,96.537796,-0.850079,-1.639839,94.473305,-17.211819,6.287426,138.628922,19.086233,-3.460407,138.805344,-15.846139,-2.613327,86.928619,18.701521,-0.313084,82.212456,-17.191257,-10.72073,50.797199,16.596977,-7.637001,45.001842,-11.267255,-32.074615,17.30961,10.989392,-29.243893,12.556443,-16.109238,-27.887739,7.688965,14.882038,-21.224827,2.925683
59,2.513377,2.266052,96.628403,-1.000839,-1.610523,94.533279,-17.031893,6.294815,138.75592,18.80113,-3.422436,138.91568,-15.779715,-2.633095,87.089989,18.581064,-0.194244,82.296844,-17.200436,-10.79678,50.974072,16.700785,-7.335297,45.046608,-11.451168,-31.88413,17.317949,11.049092,-29.38788,12.918878,-16.438734,-27.688971,7.769817,14.885393,-21.634039,3.007887
59.5,2.599981,2.222256,96.716309,-1.154512,-1.579975,94.596481,-16.85994,6.291782,138.881088,18.512857,-3.384125,139.030396,-15.716164,-2.658436,87.248589,18.453598,-0.075958,82.386681,-17.208971,-10.869869,51.148048,16.813309,-6.985905,45.093132,-11.650117,-31.656517,17.297232,11.112525,-29.494806,13.302051,-16.779203,-27.432434,7.82702,14.885836,-22.032663,3.111985
60,2.690133,2.177208,96.800591,-1.307734,-1.546688,94.664719,-16.664555,6.28315,139.010269,18.219662,-3.343983,139.151672,-15.656793,-2.693996,87.401878,18.331354,0.043503,82.480934,-17.223391,-10.922905,51.311722,16.932312,-6.59322,45.141876,-11.878516,-31.366695,17.242226,11.191648,-29.562479,13.703281,-17.122877,-27.089329,7.847782,14.888592,-22.422131,3.236589
60.5,2.776809,2.13092,96.881927,-1.463376,-1.512001,94.735016,-16.476173,6.266895,139.136063,17.929956,-3.300686,139.274063,-15.598451,-2.734756,87.550697,18.199364,0.158936,82.575699,-17.236971,-10.962147,51.465733,17.056068,-6.151947,45.189587,-12.113786,-31.036121,17.160433,11.273671,-29.587034,14.126023,-17.460125,-26.686722,7.842072,14.890923,-22.798429,3.389992
61,2.863652,2.084335,96.959557,-1.619466,-1.475082,94.807442,-16.277658,6.243149,139.261719,17.638454,-3.255482,139.40036,-15.537098,-2.783394,87.691879,18.0688,0.271759,82.669128,-17.260948,-10.969101,51.605759,17.18358,-5.669518,45.234543,-12.364754,-30.647863,17.050598,11.362472,-29.572241,14.563463,-17.784527,-26.206703,7.805205,14.893869,-23.165649,3.565886
61.5,2.948771,2.038292,97.033646,-1.774276,-1.43647,94.879967,-16.082247,6.214771,139.382462,17.358616,-3.206615,139.522842,-15.474228,-2.834972,87.827011,17.931593,0.377403,82.758438,-17.285641,-10.951244,51.730518,17.312836,-5.140717,45.276184,-12.615237,-30.219336,16.921436,11.449868,-29.508099,15.019981,-18.089577,-25.674618,7.745006,14.898932,-23.514261,3.774951
62,3.02826,1.991573,97.102417,-1.928871,-1.396133,94.951889,-15.9001,6.173538,139.495041,17.080303,-3.157173,139.645477,-15.40276,-2.890179,87.951942,17.792246,0.477196,82.842354,-17.321592,-10.895061,51.838829,17.443487,-4.576828,45.31218,-12.868834,-29.740026,16.770836,11.532722,-29.405848,15.486731,-18.375576,-25.076683,7.662379,14.903172,-23.847462,4.006953
62.5,3.107131,1.946304,97.166916,-2.07651,-1.353939,95.021301,-15.718388,6.128513,139.601593,16.820572,-3.106983,139.758652,-15.328302,-2.944717,88.069992,17.654037,0.567955,82.919014,-17.361311,-10.804619,51.929867,17.5737,-3.970997,45.344242,-13.117073,-29.225391,16.612249,11.607251,-29.248699,15.966093,-18.638636,-24.441605,7.565814,14.912346,-24.151062,4.272549
63,3.176009,1.899559,97.224152,-2.221726,-1.3106,95.088142,-15.569934,6.064877,139.692261,16.565456,-3.058853,139.867966,-15.2435,-2.997742,88.175842,17.514004,0.650734,82.988594,-17.410398,-10.673771,52.00362,17.703455,-3.339027,45.371719,-13.359857,-28.668161,16.439575,11.668743,-29.055853,16.450068,-18.884661,-23.754887,7.457145,14.920227,-24.427223,4.558966
63.5,3.243397,1.853779,97.276474,-2.354968,-1.265614,95.149857,-15.424906,5.994984,139.776016,16.331474,-3.015831,139.963348,-15.15677,-3.046967,88.274666,17.384138,0.724361,83.049789,-17.466469,-10.503822,52.062412,17.830486,-2.670967,45.396786,-13.595772,-28.08345,16.269814,11.715587,-28.804407,16.936615,-19.113817,-23.046757,7.34673,14.936071,-24.65592,4.87488
64,3.300319,1.806416,97.321083,-2.483058,-1.220093,95.208038,-15.317534,5.904327,139.841644,16.104826,-2.977585,140.051666,-15.063513,-3.089981,88.361526,17.257019,0.789616,83.104294,-17.529428,-10.293068,52.105721,17.955238,-1.986954,45.421894,-13.822524,-27.465342,16.094679,11.746933,-28.521284,17.420961,-19.331907,-22.304443,7.23446,14.951479,-24.842966,5.205878
64.5,3.354058,1.758945,97.360336,-2.597648,-1.173645,95.259209,-15.219166,5.80299,139.899521,15.895794,-2.951294,140.124374,-14.972127,-3.127651,88.440857,17.146265,0.847141,83.150856,-17.600658,-10.041847,52.138004,18.0739,-1.273857,45.447796,-14.042571,-26.828018,15.929276,11.761686,-28.178633,17.895741,-19.542145,-21.551983,7.130244,14.977049,-24.959509,5.557889
65,3.39975,1.710197,97.393318,-2.705254,-1.127205,95.306778,-15.149449,5.682518,139.943192,15.696249,-2.931042,140.188293,-14.881252,-3.155987,88.510551,17.044083,0.897923,83.192307,-17.677635,-9.751095,52.158989,18.18787,-0.554657,45.47942,-14.25354,-26.166397,15.766747,11.764184,-27.810286,18.360428,-19.746941,-20.781492,7.032008,15.003973,-25.022152,5.915374
65.5,3.441662,1.660641,97.421227,-2.802813,-1.081017,95.346405,-15.090805,5.547825,139.979111,15.505772,-2.92804,140.23822,-14.7967,-3.178207,88.572037,16.958843,0.943192,83.226563,-17.761658,-9.419685,52.172684,18.290953,0.185406,45.515503,-14.457448,-25.493351,15.61688,11.75439,-27.384367,18.803061,-19.949183,-20.008291,6.94702,15.040672,-24.990728,6.281588
66,3.478898,1.610256,97.445503,-2.893468,-1.03524,95.382919,-15.045236,5.398643,140.008499,15.326006,-2.930061,140.27948,-14.720474,-3.190529,88.62719,16.885077,0.984894,83.257622,-17.851145,-9.053085,52.179893,18.386343,0.923077,45.560925,-14.654421,-24.803049,15.474573,11.738177,-26.940111,19.227192,-20.148136,-19.226648,6.870809,15.080261,-24.897978,6.641005
66.5,3.513009,1.559017,97.465935,-2.98159,-0.991051,95.41127,-15.008084,5.23455,140.031372,15.145378,-2.951035,140.310287,-14.653017,-3.195892,88.674088,16.823042,1.023064,83.281158,-17.945234,-8.64772,52.18269,18.465164,1.672367,45.613609,-14.843339,-24.10742,15.344651,11.718654,-26.44212,19.617693,-20.343157,-18.445675,6.807395,15.125368,-24.692524,6.994054
67,3.545049,1.507313,97.485023,-3.064949,-0.947662,95.437042,-14.970476,5.061523,140.054749,14.975258,-2.974522,140.334167,-14.599511,-3.192772,88.7173,16.770008,1.061089,83.303162,-18.043541,-8.214111,52.182137,18.53352,2.413216,45.675323,-15.027102,-23.398361,15.222098,11.697753,-25.931633,19.981781,-20.532778,-17.657349,6.750435,15.173035,-24.423021,7.328155
67.5,3.574906,1.455025,97.502007,-3.153989,-0.906796,95.454842,-14.936635,4.876034,140.07373,14.797918,-3.013912,140.351105,-14.553669,-3.181385,88.753517,16.720228,1.096596,83.316025,-18.144369,-7.747765,52.179237,18.580378,3.155167,45.745586,-15.202576,-22.687082,15.10947,11.682293,-25.373554,20.302309,-20.712133,-16.869064,6.700903,15.218946,-24.032772,7.639201
68,3.60373,1.402439,97.51841,-3.241745,-0.867233,95.470154,-14.896725,4.686073,140.095978,14.628994,-3.053932,140.363464,-14.522734,-3.163433,88.786964,16.672758,1.133907,83.328003,-18.246231,-7.261608,52.173416,18.615213,3.885704,45.821445,-15.373247,-21.962904,14.999983,11.668327,-24.803173,20.589701,-20.88133,-16.067532,6.6524,15.264044,-23.577879,7.921942
68.5,3.6305,1.349365,97.534012,-3.33985,-0.83041,95.478172,-14.85825,4.487888,140.115662,14.453936,-3.102631,140.371185,-14.496021,-3.135902,88.81588,16.620451,1.168537,83.329689,-18.348698,-6.753418,52.166698,18.626728,4.607346,45.905338,-15.537441,-21.236031,14.896888,11.662594,-24.193363,20.826429,-21.034815,-15.262131,6.604126,15.300375,-23.00696,8.166848
69,3.65588,1.296021,97.548103,-3.439834,-0.79533,95.483376,-14.816421,4.287827,140.13623,14.284403,-3.151661,140.376251,-14.479883,-3.103035,88.841515,16.563381,1.204483,83.330032,-18.447878,-6.234383,52.155655,18.626581,5.316261,45.990974,-15.697153,-20.494057,14.79112,11.658316,-23.566538,21.025148,-21.173832,-14.434555,6.55122,15.330902,-22.373356,8.378163
69.5,3.678493,1.242069,97.561317,-3.54912,-0.762714,95.482269,-14.778296,4.083885,140.15451,14.115444,-3.202393,140.377319,-14.46431,-3.059948,88.864853,16.497652,1.236351,83.320663,-18.54455,-5.706547,52.144218,18.605478,6.010754,46.083496,-15.853118,-19.745548,14.687422,11.659565,-22.90377,21.168627,-21.296841,-13.595882,6.493044,15.347971,-21.633295,8.542282
70,3.69866,1.187588,97.571556,-3.661401,-0.731972,95.478027,-14.74329,3.878532,140.168976,13.950319,-3.254192,140.376709,-14.451778,-3.011757,88.884293,16.423651,1.266869,83.309067,-18.634745,-5.174713,52.128147,18.574684,6.691692,46.175945,-16.007149,-18.980106,14.578307,11.658951,-22.217817,21.271555,-21.405643,-12.730801,6.427921,15.356281,-20.835566,8.672247
70.5,3.715715,1.132465,97.579559,-3.776432,-0.703098,95.46917,-14.715756,3.673061,140.179916,13.794188,-3.304008,140.371887,-14.437103,-2.954327,88.902519,16.343275,1.29155,83.290916,-18.71821,-4.646496,52.111233,18.52968,7.356804,46.275101,-16.160013,-18.20224,14.466723,11.658495,-21.495167,21.317381,-21.504087,-11.846149,6.35612,15.350695,-19.94381,8.752043
71,3.72875,1.076523,97.583366,-3.89289,-0.675869,95.457237,-14.698653,3.465313,140.182587,13.641968,-3.355999,140.365646,-14.419631,-2.891701,88.916527,16.25676,1.311321,83.270142,-18.792702,-4.119194,52.091499,18.477266,8.007988,46.375462,-16.315708,-17.406261,14.350153,11.651359,-20.743532,21.321974,-21.593906,-10.935032,6.278981,15.338215,-18.999146,8.801394
71.5,3.739598,1.020168,97.583542,-4.002867,-0.649807,95.443176,-14.689037,3.2603,140.180679,13.504719,-3.406605,140.355194,-14.398907,-2.822784,88.929131,16.170656,1.324253,83.247971,-18.856897,-3.602798,52.07069,18.419649,8.644188,46.483528,-16.472054,-16.592869,14.228447,11.639364,-19.953053,21.270634,-21.682728,-9.999374,6.198828,15.316328,-17.975626,8.803667
72,3.745911,0.963184,97.579048,-4.110574,-0.624935,95.426804,-14.692666,3.052536,140.168549,13.372467,-3.460079,140.34343,-14.373494,-2.74921,88.937454,16.085398,1.329693,83.223953,-18.909746,-3.090324,52.049809,18.356234,9.265945,46.596451,-16.635574,-15.761154,14.103986,11.617378,-19.129732,21.178259,-21.770481,-9.039642,6.117683,15.294136,-16.900673,8.781173
72.5,3.751597,0.906239,97.570679,-4.204056,-0.600727,95.411072,-14.69841,2.849308,140.152283,13.256146,-3.515648,140.328415,-14.346121,-2.673836,88.943275,16.007776,1.328766,83.203857,-18.950672,-2.589478,52.028866,18.295261,9.873207,46.717926,-16.800352,-14.909809,13.974549,11.58753,-18.267536,21.03443,-21.865599,-8.055927,6.040415,15.270687,-15.765041,8.719404
73,3.754246,0.849407,97.558121,-4.290823,-0.577248,95.394455,-14.713261,2.644287,140.127106,13.145809,-3.573933,140.3125,-14.31547,-2.595367,88.944847,15.939489,1.320225,83.18396,-18.978271,-2.093658,52.009941,18.229273,10.464275,46.848053,-16.973362,-14.041451,13.844977,11.548221,-17.371119,20.849712,-21.965296,-7.051674,5.967507,15.254835,-14.575401,8.637277
73.5,3.757282,0.793148,97.542862,-4.360539,-0.55439,95.380646,-14.72195,2.444439,140.099655,13.047363,-3.637775,140.295349,-14.28635,-2.520016,88.94236,15.882463,1.307205,83.171272,-18.99428,-1.605465,51.992981,18.168936,11.039135,46.985638,-17.146055,-13.15448,13.712907,11.500258,-16.439869,20.621336,-22.074436,-6.028683,5.904982,15.246525,-13.344818,8.5265
74,3.760231,0.7379,97.524643,-4.419912,-0.532074,95.367561,-14.73086,2.245209,140.066956,12.955411,-3.703518,140.277695,-14.256461,-2.443821,88.935684,15.84053,1.289127,83.161469,-18.99629,-1.122215,51.978374,18.104052,11.59388,47.133255,-17.323721,-12.253128,13.582505,11.447302,-15.474716,20.351837,-22.189445,-4.988564,5.851306,15.24999,-12.055862,8.395982
74.5,3.763211,0.683521,97.505447,-4.465257,-0.510872,95.358047,-14.727986,2.050369,140.033737,12.868799,-3.775558,140.261169,-14.232103,-2.374702,88.923294,15.808266,1.269016,83.158836,-18.9881,-0.641613,51.967564,18.04302,12.128525,47.28455,-17.496128,-11.336967,13.4531,11.386769,-14.482056,20.049372,-22.307146,-3.937382,5.811065,15.266802,-10.743473,8.248335
75,3.768753,0.630634,97.484718,-4.498595,-0.49052,95.350327,-14.716816,1.859074,139.999176,12.789361,-3.848564,140.243958,-14.20868,-2.306824,88.906822,15.791195,1.247719,83.161224,-18.967524,-0.165714,51.957687,17.978224,12.637012,47.443325,-17.667425,-10.409527,13.325864,11.327339,-13.455868,19.705704,-22.427538,-2.871738,5.78189,15.292179,-9.370632,8.077507
75.5,3.772677,0.578354,97.463882,-4.524424,-0.472137,95.345299,-14.696477,1.669846,139.963699,12.710494,-3.924835,140.229477,-14.192813,-2.247917,88.883163,15.778721,1.226151,83.168106,-18.938208,0.30983,51.951935,17.912678,13.120499,47.600708,-17.82486,-9.47282,13.202745,11.263036,-12.40873,19.339865,-22.537157,-1.802685,5.765024,15.330608,-7.982464,7.89893
76,3.779293,0.52721,97.44249,-4.539569,-0.455303,95.341995,-14.665292,1.48579,139.928909,12.639497,-4.001556,140.21315,-14.178925,-2.191849,88.855247,15.775488,1.206612,83.180016,-18.900482,0.780777,51.945332,17.845091,13.572781,47.75906,-17.973179,-8.528305,13.081619,11.204647,-11.329304,18.937828,-22.642029,-0.723137,5.758567,15.368273,-6.542919,7.69504
76.5,3.78316,0.475868,97.42012,-4.553288,-0.441242,95.339447,-14.63554,1.301689,139.890198,12.569447,-4.076138,140.199371,-14.169575,-2.143944,88.819839,15.771635,1.187145,83.192863,-18.855774,1.248585,51.940411,17.773684,13.995975,47.912132,-18.10043,-7.579372,12.965919,11.14568,-10.230503,18.521692,-22.724382,0.356621,5.760796,15.410738,-5.085476,7.487811
77,3.787138,0.424561,97.397049,-4.559759,-0.429565,95.337387,-14.601259,1.121754,139.850906,12.508848,-4.150486,140.182236,-14.16246,-2.099785,88.779633,15.76869,1.170097,83.208649,-18.807852,1.710953,51.933529,17.701412,14.386593,48.058422,-18.210812,-6.626423,12.851972,11.094128,-9.101402,18.079884,-22.792608,1.441063,5.77043,15.443926,-3.590153,7.259353
77.5,3.787575,0.372013,97.371033,-4.567845,-0.420853,95.333984,-14.581367,0.941093,139.80394,12.45417,-4.217957,140.165344,-14.154808,-2.061504,88.732544,15.762104,1.152313,83.222275,-18.755663,2.16576,51.92548,17.626881,14.747681,48.198124,-18.294125,-5.673069,12.74404,11.047294,-7.950096,17.630661,-22.83152,2.523079,5.78509,15.468777,-2.072754,7.028713
78,3.784879,0.318211,97.342941,-4.571865,-0.415123,95.32946,-14.569345,0.761742,139.752457,12.412549,-4.283531,140.144165,-14.148535,-2.027122,88.680153,15.750988,1.134075,83.23642,-18.705017,2.61269,51.915173,17.552509,15.078362,48.326046,-18.355709,-4.719364,12.637631,11.006858,-6.769562,17.16737,-22.849447,3.603722,5.803761,15.47994,-0.526222,6.785912
78.5,3.778318,0.262455,97.309868,-4.576915,-0.411694,95.32222,-14.580573,0.582596,139.690781,12.383179,-4.340561,140.119781,-14.138065,-1.996307,88.621941,15.736202,1.113831,83.246574,-18.653755,3.048851,51.901936,17.480829,15.383675,48.448452,-18.387266,-3.768944,12.537537,10.975898,-5.563282,16.703457,-22.83791,4.677799,5.825121,15.472591,1.042,6.542789
79,3.766743,0.204617,97.272964,-4.579574,-0.41106,95.312706,-14.611027,0.402298,139.62059,12.370863,-4.39307,140.091461,-14.127775,-1.969273,88.558426,15.717094,1.089043,83.255341,-18.606972,3.474274,51.887146,17.411407,15.664169,48.558666,-18.395176,-2.821808,12.439127,10.950028,-4.330051,16.236841,-22.803089,5.744442,5.848461,15.452543,2.633301,6.300007
79.5,3.751761,0.144951,97.230049,-4.580189,-0.411427,95.300385,-14.664029,0.224342,139.540558,12.374826,-4.438663,140.05719,-14.11346,-1.944641,88.490021,15.69689,1.061378,83.260002,-18.563454,3.888813,51.869431,17.349308,15.925697,48.665218,-18.373154,-1.882172,12.347226,10.936428,-3.070515,15.776052,-22.743042,6.797806,5.873569,15.413118,4.241371,6.061764
80,3.732105,0.083294,97.182327,-4.57842,-0.413395,95.285439,-14.739942,0.045227,139.450653,12.397795,-4.477066,140.02034,-14.09904,-1.923702,88.416931,15.677095,1.026733,83.261864,-18.524597,4.290527,51.851418,17.292458,16.169655,48.762936,-18.327868,-0.949547,12.257593,10.927693,-1.79018,15.322212,-22.66184,7.838078,5.900378,15.366879,5.86483,5.836403
80.5,3.710383,0.020832,97.129158,-4.571286,-0.414967,95.268799,-14.827521,-0.129101,139.354172,12.43631,-4.51162,139.97728,-14.084667,-1.905457,88.339569,15.660269,0.989616,83.260902,-18.491964,4.684143,51.831913,17.244173,16.39946,48.857311,-18.254297,-0.029789,12.174417,10.931567,-0.488468,14.879882,-22.560001,8.856308,5.928599,15.310532,7.497349,5.62372
81,3.685952,-0.042587,97.071732,-4.560934,-0.416233,95.249847,-14.931317,-0.301422,139.250488,12.49178,-4.537563,139.933075,-14.071748,-1.890678,88.258446,15.648968,0.946747,83.255699,-18.461256,5.064022,51.812817,17.203299,16.618065,48.946999,-18.159206,0.879074,12.09418,10.941065,0.822704,14.451471,-22.441311,9.856628,5.958905,15.25638,9.132576,5.432994
81.5,3.66118,-0.1054,97.010757,-4.543606,-0.416161,95.230736,-15.031163,-0.467213,139.144806,12.557705,-4.56155,139.885269,-14.064696,-1.879616,88.173431,15.644926,0.903503,83.249184,-18.437662,5.439098,51.794037,17.168337,16.822678,49.030571,-18.037706,1.768867,12.01981,10.96144,2.14497,14.039209,-22.304113,10.826389,5.989817,15.206415,10.768181,5.264394
82,3.63583,-0.16761,96.947449,-4.522494,-0.413898,95.20977,-15.132999,-0.626057,139.037689,12.634315,-4.577549,139.836792,-14.062454,-1.871292,88.085411,15.647734,0.859352,83.236618,-18.411118,5.800659,51.77486,17.14007,17.019592,49.111214,-17.896437,2.643536,11.94866,10.98829,3.461784,13.645143,-22.153662,11.77404,6.022281,15.168179,12.389153,5.121336
82.5,3.611157,-0.228165,96.883041,-4.495127,-0.410114,95.189568,-15.218484,-0.777531,138.932526,12.715137,-4.590626,139.788849,-14.07095,-1.866951,87.993927,15.661064,0.81823,83.223236,-18.389307,6.157646,51.756516,17.113226,17.197655,49.180206,-17.731411,3.493534,11.882219,11.023045,4.77655,13.270795,-21.984394,12.685955,6.053341,15.145933,14.00145,5.008169
83,3.587065,-0.286793,96.818321,-4.464299,-0.40303,95.167717,-15.292974,-0.918732,138.831024,12.798083,-4.597961,139.739426,-14.087431,-1.86412,87.899597,15.677589,0.782581,83.202042,-18.360468,6.50285,51.736023,17.088852,17.368279,49.244251,-17.546768,4.323578,11.818358,11.064629,6.071632,12.916989,-21.803343,13.571701,6.084427,15.142427,15.581406,4.918741
83.5,3.562844,-0.343678,96.754395,-4.429371,-0.394878,95.146179,-15.349179,-1.053047,138.733093,12.881913,-4.598816,139.69371,-14.116931,-1.863762,87.802208,15.705606,0.753517,83.178696,-18.329998,6.839386,51.714718,17.062408,17.513008,49.290516,-17.341957,5.124973,11.75759,11.110816,7.351898,12.585773,-21.603172,14.42075,6.111081,15.159317,17.14222,4.86323
84,3.539189,-0.398033,96.691322,-4.391673,-0.383495,95.122932,-15.38824,-1.176071,138.641129,12.961226,-4.595703,139.645218,-14.154942,-1.862968,87.701965,15.731392,0.734882,83.147102,-18.29212,7.165192,51.688869,17.032774,17.647705,49.327072,-17.119726,5.902637,11.698362,11.164146,8.604546,12.276336,-21.391176,15.241867,6.135855,15.196125,18.660118,4.826767
84.5,3.51277,-0.451508,96.629333,-4.352296,-0.37159,95.098061,-15.420336,-1.294273,138.550873,13.041967,-4.58289,139.599777,-14.204654,-1.861416,87.598648,15.76545,0.725426,83.110062,-18.244259,7.475796,51.658974,16.998943,17.753693,49.342354,-16.881451,6.648895,11.640335,11.218846,9.830208,11.992247,-21.162489,16.027763,6.15367,15.251698,20.141884,4.822855
85,3.485784,-0.502903,96.568138,-4.310316,-0.357513,95.071327,-15.438578,-1.403042,138.465286,13.117864,-4.56562,139.550858,-14.260975,-1.857479,87.492867,15.794941,0.727352,83.066658,-18.191618,7.776039,51.622749,16.958271,17.84671,49.343906,-16.631813,7.370491,11.583046,11.280556,11.028976,11.729478,-20.922979,16.787331,6.16821,15.320601,21.580986,4.833103
85.5,3.452916,-0.55455,96.506516,-4.267645,-0.34306,95.040649,-15.469582,-1.509552,138.376923,13.198947,-4.536678,139.500885,-14.324105,-1.848694,87.383591,15.826643,0.738914,83.014771,-18.123402,8.055153,51.579224,16.913843,17.914795,49.325443,-16.372499,8.058933,11.525076,11.342914,12.192497,11.494839,-20.673548,17.513992,6.175666,15.404343,22.966774,4.870648
86,3.417897,-0.605412,96.444695,-4.221965,-0.327557,95.007896,-15.497058,-1.610405,138.289566,13.280074,-4.501202,139.447372,-14.390486,-1.8367,87.272507,15.855808,0.759327,82.959267,-18.052725,8.324306,51.52874,16.861891,17.969475,49.292282,-16.109749,8.723644,11.467946,11.410478,13.332329,11.279821,-20.415903,18.217384,6.179166,15.491718,24.312675,4.919282
86.5,3.375141,-0.657063,96.379974,-4.17397,-0.311092,94.969803,-15.555353,-1.710457,138.194748,13.372547,-4.452579,139.387665,-14.457006,-1.816551,87.1576,15.882183,0.787682,82.895035,-17.967344,8.570148,51.469574,16.808872,18.008759,49.244705,-15.847384,9.354286,11.408509,11.481067,14.432484,11.094057,-20.158842,18.889793,6.178537,15.58893,25.593948,4.988352
87,3.328919,-0.709408,96.313889,-4.122446,-0.294125,94.929474,-15.622418,-1.809078,138.096893,13.471473,-4.395386,139.324707,-14.523667,-1.793674,87.041565,15.91057,0.820801,82.82946,-17.879627,8.807137,51.403961,16.749846,18.037605,49.185085,-15.588909,9.963051,11.350623,11.553365,15.509285,10.925034,-19.897194,19.541847,6.173653,15.682783,26.834839,5.067026
87.5,3.275477,-0.762009,96.242874,-4.065079,-0.274765,94.883835,-15.726579,-1.905907,137.989517,13.587414,-4.323498,139.251892,-14.584802,-1.761871,86.921814,15.935064,0.859653,82.757996,-17.784245,9.02346,51.330753,16.692558,18.062843,49.118126,-15.343398,10.536705,11.289178,11.631495,16.540863,10.782196,-19.646744,20.163162,6.168807,15.780464,28.004402,5.158202
88,3.217901,-0.816219,96.169724,-4.003996,-0.254646,94.83596,-15.849314,-2.004608,137.876129,13.713625,-4.242153,139.176193,-14.64439,-1.72847,86.801399,15.965534,0.900043,82.686035,-17.685104,9.233067,51.252865,16.631931,18.082504,49.043545,-15.10602,11.089077,11.229668,11.707521,17.543625,10.652739,-19.395433,20.764297,6.159407,15.873899,29.128357,5.257985
88.5,3.155545,-0.869438,96.09137,-3.933616,-0.230221,94.783806,-15.999578,-2.098091,137.755402,13.859112,-4.144417,139.08992,-14.69664,-1.688381,86.677933,15.995165,0.945713,82.612236,-17.586399,9.427208,51.168877,16.573452,18.107269,48.966015,-14.893368,11.605072,11.165631,11.788486,18.489334,10.540457,-19.160328,21.333549,6.151134,15.963202,30.174347,5.360364
