[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
11,1.120662,0.635729,91.2884,1.120662,0.635729,91.2884,-19.906348,11.489529,132.044,17.845352,12.576729,127.958,-14.909848,-9.119671,81.8425,19.172652,-4.135271,82.8059,-11.783948,-19.997771,44.5502,18.183552,9.764829,46.8948,-11.262748,-42.619871,12.3273,18.436852,4.302929,9.85715,-7.349148,-41.229971,5.53121,21.229152,13.298829,3.93908
11.5,1.167292,0.676829,91.3126,1.167292,0.676829,91.3126,-19.864748,11.601029,132.102,17.879052,12.692429,128.005,-14.856748,-9.085871,81.8365,19.251552,-4.106071,82.8731,-11.869248,-19.514071,44.433,18.250752,9.496829,46.8359,-10.987148,-42.861171,12.3897,18.441052,3.765329,9.84745,-7.349448,-41.569671,5.7558,21.247552,12.764629,3.94163
12,1.209672,0.713529,91.341,1.209672,0.713529,91.341,-19.830048,11.714229,132.158,17.912152,12.803529,128.058,-14.805548,-9.052071,81.8303,19.318752,-4.101771,82.9499,-11.952948,-19.007171,44.3211,18.318552,9.191329,46.7826,-10.717048,-43.062471,12.4788,18.440052,3.223029,9.83551,-7.354748,-41.865671,6.01533,21.260452,12.225229,3.93307
12.5,1.250532,0.748929,91.3707,1.250532,0.748929,91.3707,-19.797248,11.826429,132.213,17.943552,12.912929,128.112,-14.754548,-9.018471,81.824,19.382852,-4.102671,83.0295,-12.035848,-18.492071,44.2112,18.385752,8.872329,46.7303,-10.448348,-43.247171,12.5797,18.434952,2.678129,9.82219,-7.363448,-42.145371,6.29072,21.271152,11.683729,3.92088
13,1.288722,0.779729,91.4033,1.288722,0.779729,91.4033,-19.769548,11.937529,132.265,17.973652,13.019129,128.169,-14.702948,-8.984971,81.818,19.439052,-4.131571,83.1153,-12.114548,-17.957271,44.1092,18.453352,8.528129,46.6873,-10.187048,-43.394371,12.6993,18.429052,2.130129,9.80788,-7.378748,-42.376071,6.60115,21.278952,11.138929,3.89997
13.5,1.322842,0.807129,91.4388,1.322842,0.807129,91.4388,-19.747748,12.045829,132.312,18.004952,13.120329,128.227,-14.652348,-8.950671,81.8117,19.482752,-4.180271,83.2074,-12.190448,-17.408871,44.0185,18.519152,8.162929,46.6521,-9.945448,-43.493471,12.8445,18.418652,1.579229,9.79368,-7.395948,-42.552071,6.93332,21.285152,10.589429,3.87375
14,1.355692,0.833429,91.4753,1.355692,0.833429,91.4753,-19.727148,12.152629,132.36,18.035552,13.219629,128.285,-14.601848,-8.916171,81.8054,19.522752,-4.234071,83.3006,-12.265048,-16.856871,43.9316,18.583852,7.791829,46.6189,-9.711048,-43.575871,12.9987,18.407952,1.027129,9.77949,-7.415048,-42.709971,7.27318,21.290852,10.038329,3.84648
14.5,1.385592,0.855329,91.5139,1.385592,0.855329,91.5139,-19.713148,12.254329,132.402,18.065052,13.313529,128.344,-14.549048,-8.882071,81.7997,19.555052,-4.312671,83.3971,-12.334848,-16.289871,43.8608,18.645752,7.403729,46.5954,-9.491448,-43.607171,13.1651,18.396452,0.470829,9.76886,-7.437248,-42.793371,7.63432,21.298552,9.482829,3.81916
15,1.411782,0.874829,91.5546,1.411782,0.874829,91.5546,-19.703448,12.351329,132.44,18.095352,13.402129,128.402,-14.497448,-8.845671,81.7939,19.577152,-4.406371,83.4964,-12.400848,-15.715971,43.8038,18.704852,7.003929,46.5796,-9.304748,-43.582971,13.3526,18.384452,-0.086171,9.76037,-7.456948,-42.814171,7.99854,21.307052,8.924629,3.79354
15.5,1.437072,0.893329,91.596,1.437072,0.893329,91.596,-19.695048,12.446329,132.478,18.125352,13.488029,128.461,-14.445648,-8.809171,81.7883,19.597352,-4.504771,83.5957,-12.465048,-15.139771,43.7526,18.762052,6.600229,46.5656,-9.127448,-43.538971,13.5441,18.373452,-0.644371,9.75333,-7.476948,-42.808671,8.36275,21.316152,8.365229,3.76984
