[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
10.5,0.65084912,2.4272815,101.438,0.65084912,2.4272815,101.438,-19.40650088,1.3463815,143.13,21.50569912,2.8299815,143.072,-16.13660088,0.7336815,92.1423,18.20139912,8.5089815,92.4245,-16.53820088,-8.4023185,52.853,15.85529912,13.8546815,51.6578,-17.04640088,-26.3025185,15.7477,14.50589912,11.7872815,11.5958,-18.72660088,-19.1011185,5.58657,16.78599912,22.3022815,5.75465
11,0.77370912,2.3954815,101.553,0.77370912,2.3954815,101.553,-19.18350088,1.1381815,143.278,21.66939912,2.9271815,143.216,-15.99870088,0.7010815,92.3177,18.25949912,8.6067815,92.4725,-16.52900088,-8.0747185,52.912,15.92559912,13.6139815,51.6465,-17.03950088,-26.4376185,16.0446,14.51149912,11.3768815,11.5914,-18.69320088,-19.4494185,5.73857,16.78619912,21.8873815,5.74273
11.5,0.89287912,2.3591815,101.659,0.89287912,2.3591815,101.659,-18.96510088,0.9285815,143.41,21.83049912,3.0175815,143.353,-15.86040088,0.6572815,92.4837,18.30949912,8.6906815,92.5106,-16.53310088,-7.7237185,52.9589,15.99529912,13.3669815,51.6299,-17.03010088,-26.5652185,16.3487,14.51789912,10.9663815,11.5847,-18.65680088,-19.7952185,5.90413,16.78819912,21.4713815,5.72611
12,1.01392912,2.3207815,101.758,1.01392912,2.3207815,101.758,-18.74100088,0.7164815,143.533,21.99389912,3.1066815,143.482,-15.72190088,0.6084815,92.6376,18.36349912,8.7640815,92.5429,-16.54650088,-7.3582185,52.9994,16.06479912,13.1207815,51.6124,-17.01660088,-26.6856185,16.6588,14.52329912,10.5542815,11.5769,-18.61690088,-20.1381185,6.07784,16.79119912,21.0535815,5.70986
12.5,1.13457912,2.2782815,101.845,1.13457912,2.2782815,101.845,-18.51370088,0.5029815,143.637,22.15529912,3.1923815,143.6,-15.58100088,0.5486815,92.7754,18.41709912,8.8198815,92.5652,-16.57740088,-6.9706185,53.0288,16.13169912,12.8730815,51.5913,-16.99530088,-26.7984185,16.9786,14.53259912,10.1455815,11.5685,-18.57240088,-20.4784185,6.26741,16.79729912,20.6403815,5.69503
13,1.25537912,2.2339815,101.923,1.25537912,2.2339815,101.923,-18.29250088,0.2893815,143.723,22.31959912,3.2767815,143.706,-15.44130088,0.4837815,92.8993,18.47839912,8.8635815,92.5818,-16.61780088,-6.5713185,53.0539,16.20099912,12.6260815,51.5703,-16.96720088,-26.9016185,17.3026,14.54099912,9.7368815,11.5598,-18.52640088,-20.8103185,6.46721,16.80459912,20.2272815,5.6815
13.5,1.37784912,2.1878815,101.992,1.37784912,2.1878815,101.992,-18.06790088,0.0770815,143.796,22.48359912,3.3613815,143.8,-15.30280088,0.4132815,93.0085,18.55059912,8.8927815,92.5924,-16.67050088,-6.1587185,53.0755,16.26909912,12.3783815,51.5497,-16.92910088,-26.9945185,17.6353,14.55059912,9.3293815,11.5517,-18.47770088,-21.1342185,6.68088,16.81239912,19.8162815,5.67179
14,1.49948912,2.1393815,102.049,1.49948912,2.1393815,102.049,-17.85050088,-0.1336185,143.847,22.64769912,3.4445815,143.88,-15.16380088,0.3363815,93.1019,18.62859912,8.9060815,92.5965,-16.73740088,-5.7342185,53.0934,16.33949912,12.1304815,51.5292,-16.88030088,-27.0767185,17.9739,14.56259912,8.9228815,11.5452,-18.42810088,-21.4475185,6.90819,16.82199912,19.4080815,5.66573
14.5,1.62148912,2.0903815,102.099,1.62148912,2.0903815,102.099,-17.63920088,-0.3417185,143.884,22.81049912,3.5290815,143.948,-15.02800088,0.2569815,93.1829,18.72189912,8.9088815,92.5971,-16.81080088,-5.3047185,53.1125,16.41179912,11.8804815,51.5102,-16.82310088,-27.1457185,18.3162,14.57329912,8.5178815,11.5392,-18.38130088,-21.7453185,7.147,16.83069912,19.0020815,5.66229
15,1.74318912,2.0397815,102.139,1.74318912,2.0397815,102.139,-17.43390088,-0.5456185,143.904,22.97279912,3.6130815,144.002,-14.89520088,0.1740815,93.2489,18.82709912,8.8955815,92.5922,-16.89720088,-4.8674185,53.1335,16.48539912,11.6282815,51.493,-16.75320088,-27.1995185,18.6669,14.58529912,8.1109815,11.5357,-18.33530088,-22.0262185,7.40142,16.83929912,18.5953815,5.66317
15.5,1.86351912,1.9888815,102.172,1.86351912,1.9888815,102.172,-17.23890088,-0.7462185,143.909,23.13169912,3.6979815,144.044,-14.76510088,0.0896815,93.3045,18.94479912,8.8727815,92.5837,-16.99040088,-4.4305185,53.1582,16.56189912,11.3723815,51.4769,-16.67700088,-27.2365185,19.0173,14.59809912,7.7065815,11.5334,-18.29710088,-22.2840185,7.66537,16.84719912,18.1926815,5.66576
16,1.98101912,1.9376815,102.199,1.98101912,1.9376815,102.199,-17.05650088,-0.9403185,143.903,23.28779912,3.7811815,144.074,-14.64120088,0.0050815,93.3518,19.07209912,8.8405815,92.5719,-17.08840088,-3.9943185,53.1898,16.64089912,11.1112815,51.4621,-16.59310088,-27.2541185,19.3715,14.60929912,7.2986815,11.5327,-18.26620088,-22.5161185,7.94243,16.85309912,17.7862815,5.66881
16.5,2.09646912,1.8857815,102.219,2.09646912,1.8857815,102.219,-16.88360088,-1.1310185,143.885,23.43939912,3.8645815,144.093,-14.52100088,-0.0798185,93.3878,19.21059912,8.7969815,92.5555,-17.19440088,-3.5596185,53.2273,16.72079912,10.8468815,51.4484,-16.50180088,-27.2519185,19.7269,14.62099912,6.8899815,11.5333,-18.24420088,-22.7212185,8.22935,16.85809912,17.3803815,5.67364
17,2.20695912,1.8339815,102.235,2.20695912,1.8339815,102.235,-16.72470088,-1.3164185,143.858,23.58349912,3.9458815,144.106,-14.40570088,-0.1634185,93.4211,19.35259912,8.7490815,92.5367,-17.30130088,-3.1325185,53.2726,16.80219912,10.5763815,51.4346,-16.41050088,-27.2295185,20.0781,14.63289912,6.4803815,11.5349,-18.23530088,-22.8951185,8.52258,16.86169912,16.9734815,5.67707
17.5,2.31369912,1.7818815,102.246,2.31369912,1.7818815,102.246,-16.57820088,-1.4972185,143.824,23.72389912,4.0242815,144.109,-14.29590088,-0.2456185,93.4478,19.49929912,8.6943815,92.5143,-17.40960088,-2.7111185,53.3262,16.88449912,10.3018815,51.4212,-16.31640088,-27.1828185,20.4285,14.64179912,6.0678815,11.5362,-18.23840088,-23.0358185,8.82399,16.86339912,16.5629815,5.67904
18,2.41372912,1.7296815,102.255,2.41372912,1.7296815,102.255,-16.44370088,-1.6736185,143.785,23.85319912,4.0995815,144.108,-14.19210088,-0.3252185,93.4732,19.64499912,8.6343815,92.4886,-17.51970088,-2.2997185,53.3887,16.96429912,10.0215815,51.4064,-16.22570088,-27.1114185,20.7694,14.65249912,5.6534815,11.5386,-18.25690088,-23.1375185,9.12605,16.86429912,16.1504815,5.67943
18.5,2.50761912,1.6769815,102.263,2.50761912,1.6769815,102.263,-16.32280088,-1.8459185,143.742,23.97459912,4.1681815,144.105,-14.09110088,-0.4028185,93.4988,19.78449912,8.5727815,92.4611,-17.62490088,-1.8999185,53.4598,17.04479912,9.7379815,51.3909,-16.14070088,-27.0143185,21.1009,14.66079912,5.2382815,11.5399,-18.29250088,-23.2001185,9.42901,16.86479912,15.7364815,5.67773
19,2.59508912,1.6240815,102.268,2.59508912,1.6240815,102.268,-16.21330088,-2.0148185,143.696,24.08849912,4.2321815,144.097,-13.99660088,-0.4773185,93.5232,19.92049912,8.5066815,92.4299,-17.72910088,-1.5102185,53.5396,17.12109912,9.4499815,51.3736,-16.06140088,-26.8881185,21.4214,14.66759912,4.8209815,11.5407,-18.34320088,-23.2202185,9.72985,16.86429912,15.3186815,5.67338
19.5,2.67623912,1.5701815,102.274,2.67623912,1.5701815,102.274,-16.11010088,-2.1815185,143.651,24.19159912,4.2883815,144.092,-13.90430088,-0.5494185,93.5507,20.04519912,8.4385815,92.3981,-17.82940088,-1.1315185,53.6257,17.19419912,9.1602815,51.3551,-15.99140088,-26.7387185,21.7254,14.67479912,4.4033815,11.5412,-18.40790088,-23.2026185,10.0216,16.86459912,14.9000815,5.66871
20,2.75038912,1.5157815,102.28,2.75038912,1.5157815,102.28,-16.01880088,-2.3453185,143.605,24.28619912,4.3366815,144.086,-13.81530088,-0.6192185,93.5809,20.15999912,8.3689815,92.3646,-17.92330088,-0.7644185,53.7194,17.26399912,8.8679815,51.3347,-15.93240088,-26.5592185,22.0132,14.67979912,3.9862815,11.5403,-18.48880088,-23.1400185,10.3064,16.86479912,14.4807815,5.66194
20.5,2.81794912,1.4597815,102.287,2.81794912,1.4597815,102.287,-15.93240088,-2.5073185,143.562,24.37279912,4.3749815,144.083,-13.73110088,-0.6862185,93.6139,20.26119912,8.2951815,92.3303,-18.01430088,-0.4070185,53.8187,17.32819912,8.5739815,51.3128,-15.88460088,-26.3506185,22.2792,14.68399912,3.5673815,11.5394,-18.58070088,-23.0338185,10.5747,16.86569912,14.0576815,5.65531
21,2.88021912,1.4022815,102.295,2.88021912,1.4022815,102.295,-15.85000088,-2.6684185,143.521,24.44869912,4.4030815,144.085,-13.64620088,-0.7514185,93.6513,20.35109912,8.2183815,92.2969,-18.09830088,-0.0608185,53.9231,17.38819912,8.2802815,51.2903,-15.84970088,-26.1156185,22.5208,14.68849912,3.1515815,11.5378,-18.68510088,-22.8845185,10.8255,16.86809912,13.6383815,5.64983
21.5,2.93591912,1.3432815,102.305,2.93591912,1.3432815,102.305,-15.77420088,-2.8271185,143.483,24.51799912,4.4193815,144.089,-13.56570088,-0.8146185,93.6928,20.42689912,8.1374815,92.2636,-18.17690088,0.2760815,54.0323,17.44369912,7.9842815,51.2667,-15.82960088,-25.8442185,22.7359,14.69079912,2.7353815,11.5361,-18.80070088,-22.6837185,11.0561,16.87099912,13.2162815,5.64475
22,2.98838912,1.2818815,102.316,2.98838912,1.2818815,102.316,-15.69730088,-2.9857185,143.449,24.58129912,4.4252815,144.098,-13.48690088,-0.8767185,93.7364,20.49429912,8.0508815,92.2319,-18.25220088,0.6061815,54.1438,17.49449912,7.6890815,51.2432,-15.81930088,-25.5501185,22.9248,14.69299912,2.3204815,11.5346,-18.92020088,-22.4466185,11.2629,16.87489912,12.7955815,5.64174
