[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoki,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.89,0.668,65.06,0.359,34.94,0.152,14.79,113.94,56.42,21.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.017,,0.009,0.75,0.012,0.75,0.004,0.42,1.63,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
CV,1.652,,1.345,1.15,3.336,2.14,2.707,2.86,1.43,2.39,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.85,0.656,63.84,0.371,36.16,0.145,14.11,113.97,57.55,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,,0.013,0.76,0.006,0.76,0.005,0.45,1.43,1.08,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.98,,1.936,1.19,1.741,2.09,3.437,3.21,1.26,1.88,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
53.5,-0.220107,-0.162437,103.291992,0.271051,-0.41748,102.922173,-21.417656,1.067596,148.490295,21.831812,0.968945,147.703262,-19.239056,-2.851528,92.639923,18.848452,-1.464336,90.585609,-15.291368,-11.487511,53.515518,15.643777,-11.040981,51.84214,-10.84271,-33.08683,13.17165,10.67168,-33.236046,12.767559,-14.036661,-24.802118,4.531203,13.811972,-24.824984,3.927786
54,-0.161672,-0.164574,103.267097,0.214968,-0.399448,102.869446,-21.329056,1.026096,148.463898,21.751637,0.943184,147.620422,-19.20401,-2.76223,92.617104,18.820229,-1.359211,90.534248,-15.22345,-11.234726,53.461567,15.568566,-10.848442,51.77998,-10.843144,-33.398544,13.452076,10.692369,-33.585594,13.021729,-14.053432,-25.321815,4.59436,13.823962,-25.364876,3.968974
54.5,-0.102583,-0.163704,103.250877,0.157081,-0.378529,102.824722,-21.241188,0.986008,148.445129,21.670938,0.917461,147.546753,-19.164717,-2.672401,92.599663,18.790838,-1.251057,90.487679,-15.155223,-10.940784,53.408653,15.492005,-10.62093,51.716728,-10.842139,-33.67794,13.751585,10.711454,-33.906075,13.292109,-14.068754,-25.834332,4.670636,13.833253,-25.896944,4.022637
55,-0.043071,-0.15929,103.244362,0.096703,-0.35339,102.792404,-21.154964,0.946457,148.43605,21.58996,0.891376,147.488022,-19.121218,-2.581856,92.586845,18.758766,-1.140102,90.449104,-15.090695,-10.601322,53.355434,15.415114,-10.342743,51.652496,-10.840987,-33.917091,14.073872,10.730085,-34.183475,13.587572,-14.080999,-26.33762,4.76715,13.837764,-26.417542,4.096662
55.5,0.01667,-0.152607,103.244469,0.034184,-0.324963,102.768974,-21.069456,0.907505,148.433899,21.50926,0.865414,147.438232,-19.074734,-2.491631,92.577339,18.724152,-1.026283,90.416893,-15.027877,-10.23119,53.302132,15.336835,-10.027233,51.588127,-10.839214,-34.129639,14.41099,10.748371,-34.430206,13.900667,-14.09026,-26.835024,4.875252,13.838775,-26.930599,4.182989
56,0.076446,-0.142693,103.255547,-0.029219,-0.294453,102.752029,-20.984236,0.869999,148.443909,21.429243,0.839645,147.397095,-19.024582,-2.402828,92.573151,18.688129,-0.911171,90.388184,-14.969562,-9.811615,53.249043,15.259574,-9.683388,51.522289,-10.835999,-34.29689,14.772522,10.765279,-34.649734,14.227589,-14.095402,-27.320578,5.006315,13.837348,-27.434401,4.283361
56.5,0.135549,-0.130417,103.275307,-0.093777,-0.26022,102.747322,-20.901686,0.831982,148.464218,21.34967,0.814037,147.374557,-18.972094,-2.315186,92.571625,18.648285,-0.79604,90.364746,-14.918951,-9.350555,53.194313,15.186921,-9.287025,51.45261,-10.832336,-34.420322,15.155939,10.780125,-34.816315,14.581924,-14.09635,-27.790045,5.163491,13.83164,-27.919273,4.415442
57,0.19408,-0.116589,103.301178,-0.160136,-0.222412,102.753662,-20.821152,0.793884,148.492172,21.269842,0.788982,147.367249,-18.916691,-2.228626,92.572243,18.60401,-0.680202,90.347145,-14.873245,-8.861572,53.138355,15.117559,-8.84449,51.38026,-10.828164,-34.513405,15.554516,10.793767,-34.937893,14.959506,-14.093921,-28.249186,5.337797,13.82278,-28.389872,4.572498
57.5,0.252312,-0.100376,103.336891,-0.226949,-0.183029,102.765602,-20.741154,0.755756,148.533401,21.191271,0.764217,147.367981,-18.858849,-2.144909,92.576035,18.557795,-0.564426,90.332497,-14.835922,-8.327347,53.080379,15.050625,-8.377583,51.306477,-10.822645,-34.553669,15.977937,10.806671,-35.032623,15.349696,-14.085283,-28.686119,5.542637,13.81195,-28.849232,4.744527
58,0.309298,-0.08316,103.379288,-0.292963,-0.141338,102.787346,-20.663462,0.716236,148.584229,21.114382,0.739784,147.386505,-18.800762,-2.063839,92.5811,18.508329,-0.451698,90.320358,-14.807838,-7.760853,53.020878,14.992071,-7.865246,51.228275,-10.816889,-34.550545,16.419714,10.8168,-35.069771,15.76507,-14.071858,-29.098692,5.774161,13.798748,-29.277508,4.954525
58.5,0.364878,-0.065685,103.426224,-0.359128,-0.097366,102.817429,-20.588821,0.675049,148.641815,21.037531,0.715775,147.419861,-18.741831,-1.984795,92.586929,18.454737,-0.341354,90.310638,-14.786973,-7.172775,52.959957,14.940542,-7.31414,51.146332,-10.810461,-34.514404,16.874477,10.824757,-35.059113,16.20149,-14.055104,-29.490374,6.026483,13.783577,-29.681393,5.195178
59,0.419787,-0.047443,103.479736,-0.425357,-0.051891,102.854202,-20.51552,0.631824,148.710052,20.961735,0.692425,147.464081,-18.681463,-1.909512,92.593887,18.397963,-0.23278,90.303726,-14.775889,-6.552769,52.896748,14.894269,-6.734394,51.062233,-10.803479,-34.42524,17.348976,10.832085,-35.012131,16.653774,-14.032505,-29.845245,6.310596,13.767616,-30.06715,5.45833
59.5,0.473351,-0.02935,103.537941,-0.489294,-0.006229,102.8964,-20.444311,0.585979,148.786331,20.888636,0.668667,147.519806,-18.622269,-1.837776,92.601555,18.339472,-0.129578,90.297844,-14.774315,-5.910084,52.833168,14.856605,-6.126797,50.977524,-10.796737,-34.291748,17.837893,10.837382,-34.914188,17.12151,-14.004831,-30.163902,6.620819,13.751192,-30.409557,5.753574
60,0.525102,-0.01255,103.598724,-0.551481,0.039825,102.94297,-20.376175,0.536739,148.867325,20.816851,0.644749,147.585114,-18.564428,-1.769897,92.609421,18.278584,-0.031162,90.292091,-14.780325,-5.254566,52.770531,14.826858,-5.494755,50.891838,-10.789537,-34.122307,18.334394,10.840042,-34.772182,17.602657,-13.973566,-30.443781,6.950929,13.734063,-30.71467,6.076542
60.5,0.575625,0.003365,103.662407,-0.61245,0.08654,102.995804,-20.310366,0.483982,148.953522,20.745876,0.621338,147.662766,-18.506779,-1.70628,92.61792,18.214565,0.062912,90.287766,-14.794198,-4.583767,52.708954,14.805889,-4.834061,50.804459,-10.782647,-33.908661,18.840452,10.841699,-34.583755,18.100594,-13.938822,-30.675777,7.30551,13.717899,-30.986891,6.430026
61,0.62516,0.018059,103.728355,-0.670739,0.131649,103.05085,-20.24678,0.427441,149.04422,20.677994,0.596687,147.744812,-18.450682,-1.646671,92.62722,18.149904,0.150757,90.285378,-14.815587,-3.902588,52.64978,14.790263,-4.162678,50.722786,-10.776581,-33.654022,19.353638,10.842445,-34.356102,18.601467,-13.900059,-30.859056,7.680972,13.70223,-31.207727,6.801423
61.5,0.672701,0.029835,103.795189,-0.726199,0.175381,103.107208,-20.18611,0.365639,149.136597,20.612749,0.571072,147.830048,-18.397097,-1.593624,92.638,18.084461,0.232597,90.283401,-14.843061,-3.217957,52.59782,14.780869,-3.481323,50.646217,-10.770771,-33.357475,19.864885,10.841052,-34.090233,19.10457,-13.857452,-30.976086,8.070707,13.68662,-31.377983,7.19063
62,0.718858,0.039864,103.862518,-0.778629,0.217896,103.167076,-20.127684,0.300339,149.229065,20.549046,0.544575,147.923172,-18.345121,-1.544949,92.650177,18.018167,0.308086,90.282372,-14.874134,-2.531239,52.551704,14.780388,-2.782413,50.573505,-10.765957,-33.031757,20.374252,10.838235,-33.777851,19.616158,-13.81409,-31.045149,8.47109,13.672606,-31.496059,7.606227
62.5,0.763903,0.047585,103.930328,-0.828713,0.257889,103.228142,-20.072575,0.230148,149.321655,20.487926,0.516491,148.017197,-18.294786,-1.501911,92.664322,17.951614,0.377266,90.284599,-14.910089,-1.843861,52.513714,14.782322,-2.081867,50.511211,-10.762393,-32.665905,20.880913,10.835093,-33.43409,20.121485,-13.768389,-31.047237,8.885012,13.659417,-31.55908,8.02782
63,0.807369,0.05164,103.997849,-0.875627,0.295044,103.289185,-20.019859,0.15427,149.411774,20.43029,0.486439,148.109482,-18.246191,-1.46627,92.68293,17.885162,0.440228,90.289841,-14.946834,-1.163303,52.491165,14.787107,-1.382305,50.461819,-10.760012,-32.26186,21.370975,10.830781,-33.05719,20.615896,-13.720504,-30.966875,9.297407,13.645845,-31.558651,8.452281
63.5,0.849683,0.053532,104.065163,-0.918795,0.32906,103.350746,-19.969074,0.075279,149.499374,20.375944,0.454014,148.201233,-18.199486,-1.436066,92.704269,17.820381,0.496586,90.298241,-14.983626,-0.487118,52.479233,14.796016,-0.681927,50.425919,-10.7587,-31.83593,21.849508,10.824953,-32.64341,21.101564,-13.672643,-30.835613,9.708311,13.632709,-31.489777,8.883613
64,0.89023,0.052357,104.132072,-0.959821,0.360233,103.413452,-19.922003,-0.008678,149.582642,20.323088,0.419674,148.293259,-18.155008,-1.413239,92.730019,17.75606,0.54723,90.31044,-15.020787,0.18185,52.483883,14.806059,0.016689,50.402626,-10.758886,-31.374983,22.310278,10.818702,-32.202747,21.575848,-13.62486,-30.624088,10.11679,13.620231,-31.36618,9.314004
64.5,0.929645,0.047939,104.198715,-0.997984,0.387348,103.475983,-19.877565,-0.097172,149.661133,20.274342,0.382633,148.380096,-18.110662,-1.397301,92.762032,17.692076,0.591919,90.329315,-15.054806,0.840824,52.507931,14.814307,0.705746,50.400478,-10.759877,-30.88312,22.744986,10.811715,-31.733196,22.023146,-13.577138,-30.332348,10.511243,13.606125,-31.166382,9.72696
65,0.968388,0.041405,104.265373,-1.033162,0.410843,103.538216,-19.834461,-0.188011,149.735962,20.229528,0.342602,148.461685,-18.06679,-1.387077,92.798866,17.631193,0.63245,90.354225,-15.085224,1.491642,52.547707,14.821388,1.385757,50.417583,-10.761926,-30.372143,23.15707,10.803394,-31.239126,22.446457,-13.529462,-29.984295,10.889992,13.590464,-30.898575,10.124313
65.5,1.005007,0.031891,104.331802,-1.065688,0.430611,103.601448,-19.794798,-0.282398,149.804443,20.186653,0.299786,148.541855,-18.025787,-1.384842,92.841934,17.572392,0.667198,90.384773,-15.11161,2.131779,52.609749,14.827701,2.059155,50.452858,-10.764679,-29.833267,23.537384,10.794348,-30.718172,22.848822,-13.483568,-29.556229,11.248214,13.574319,-30.564083,10.51073
66,1.040419,0.019829,104.398521,-1.096537,0.446419,103.665085,-19.758022,-0.379429,149.867523,20.147404,0.254749,148.616623,-17.983999,-1.389206,92.891907,17.513964,0.697895,90.423668,-15.132662,2.762074,52.69294,14.828773,2.719509,50.511448,-10.767343,-29.269318,23.884106,10.783799,-30.174492,23.212362,-13.439326,-29.055075,11.581917,13.554825,-30.156054,10.861336
66.5,1.075196,0.006153,104.465836,-1.125731,0.459225,103.729034,-19.722656,-0.477577,149.92688,20.111328,0.20739,148.686768,-17.941664,-1.398129,92.948204,17.458719,0.727055,90.469437,-15.147717,3.382816,52.795113,14.825995,3.369263,50.588127,-10.770335,-28.686287,24.197388,10.772436,-29.614523,23.545008,-13.396099,-28.494743,11.887162,13.532875,-29.692501,11.183257
67,1.108336,-0.009453,104.533531,-1.152279,0.467617,103.794014,-19.690027,-0.57666,149.981323,20.078695,0.156673,148.752945,-17.901255,-1.413132,93.010284,17.40695,0.751595,90.524025,-15.156682,3.993679,52.917667,14.818541,4.006042,50.689648,-10.772549,-28.082403,24.473085,10.75924,-29.028593,23.840261,-13.354571,-27.870895,12.159963,13.507963,-29.149303,11.474026
67.5,1.139708,-0.026882,104.60199,-1.178016,0.473095,103.859947,-19.660007,-0.67627,150.031204,20.048441,0.105206,148.816437,-17.860628,-1.4342,93.078598,17.356535,0.774048,90.585625,-15.160114,4.595749,53.060303,14.80628,4.630932,50.810116,-10.773647,-27.45785,24.7104,10.744013,-28.423418,24.093904,-13.315509,-27.185158,12.400636,13.479307,-28.545176,11.722757
68,1.169992,-0.045078,104.671478,-1.202737,0.476299,103.926636,-19.632341,-0.774742,150.077942,20.020605,0.052673,148.877411,-17.819233,-1.457832,93.153313,17.308979,0.796116,90.653137,-15.156438,5.187332,53.222759,14.789581,5.245964,50.945316,-10.773434,-26.811699,24.901909,10.727533,-27.803722,24.313265,-13.279308,-26.43889,12.599832,13.448138,-27.893465,11.936806
68.5,1.199357,-0.063923,104.741455,-1.226038,0.475975,103.994652,-19.606319,-0.87207,150.123062,19.996542,-0.002014,148.935287,-17.779005,-1.483803,93.231293,17.265356,0.81686,90.72966,-15.14824,5.770962,53.397884,14.766622,5.846508,51.102966,-10.77143,-26.149813,25.060032,10.708447,-27.16193,24.485596,-13.243838,-25.652323,12.766568,13.412584,-27.170773,12.10395
69,1.226511,-0.083809,104.81221,-1.248434,0.473591,104.063538,-19.582579,-0.967686,150.165176,19.974287,-0.056026,148.992416,-17.739403,-1.513939,93.314041,17.224478,0.836262,90.81134,-15.134986,6.34565,53.58976,14.740503,6.435646,51.275082,-10.767149,-25.468605,25.175409,10.687039,-26.500422,24.615423,-13.211145,-24.81394,12.894394,13.373934,-26.394403,12.22859
69.5,1.251943,-0.10342,104.883453,-1.270203,0.469833,104.133026,-19.561716,-1.05928,150.206024,19.953884,-0.109367,149.049042,-17.700779,-1.544456,93.399841,17.18704,0.856049,90.896736,-15.117408,6.909416,53.794895,14.710921,7.01519,51.457409,-10.759953,-24.765154,25.242342,10.66308,-25.823242,24.708929,-13.182627,-23.92683,12.978057,13.333376,-25.575956,12.315997
70,1.276513,-0.12278,104.954758,-1.291308,0.46426,104.203506,-19.541967,-1.148472,150.247284,19.936001,-0.162575,149.105774,-17.663645,-1.573849,93.486771,17.153101,0.876476,90.987144,-15.097811,7.465115,54.006378,14.677431,7.582718,51.652088,-10.750751,-24.047087,25.279394,10.63685,-25.126299,24.758362,-13.154951,-23.012861,13.0324,13.290013,-24.707041,12.358251
70.5,1.299218,-0.142166,105.025948,-1.311271,0.45726,104.274231,-19.524298,-1.233837,150.287674,19.920576,-0.213566,149.162109,-17.627239,-1.603485,93.575409,17.123102,0.896275,91.081322,-15.07536,8.010796,54.226501,14.641955,8.137051,51.857819,-10.738492,-23.310474,25.275818,10.607829,-24.407232,24.761084,-13.13048,-22.061848,13.048751,13.244508,-23.786325,12.354555
71,1.319527,-0.160641,105.096291,-1.330612,0.450073,104.344826,-19.509199,-1.313164,150.328186,19.906166,-0.262005,149.219666,-17.594421,-1.632053,93.663315,17.097801,0.916832,91.176056,-15.052445,8.543056,54.452404,14.605738,8.681709,52.06776,-10.723228,-22.550625,25.22607,10.575654,-23.670271,24.72913,-13.109968,-21.072376,13.023911,13.198792,-22.830296,12.317721
71.5,1.338381,-0.178417,105.165573,-1.349316,0.442509,104.4151,-19.495457,-1.389004,150.369553,19.892754,-0.308155,149.278961,-17.565035,-1.657303,93.749969,17.075075,0.93755,91.270538,-15.030491,9.064903,54.678837,14.569361,9.216343,52.279747,-10.705742,-21.775932,25.148861,10.541864,-22.91501,24.663021,-13.092469,-20.064106,12.975115,13.153811,-21.842703,12.249314
72,1.355849,-0.195347,105.233253,-1.366892,0.434402,104.484543,-19.483587,-1.459778,150.411179,19.882271,-0.350224,149.338058,-17.536545,-1.679436,93.83522,17.056726,0.958458,91.366425,-15.008911,9.574791,54.905716,14.532548,9.736115,52.497459,-10.685927,-20.982756,25.037287,10.505213,-22.135483,24.549616,-13.078458,-19.030584,12.895814,13.108452,-20.808235,12.135921
72.5,1.370873,-0.211155,105.298592,-1.383363,0.426991,104.55265,-19.473505,-1.524487,150.453293,19.871983,-0.388538,149.398651,-17.513296,-1.698738,93.917229,17.044067,0.979576,91.460022,-14.98982,10.069035,55.131332,14.497984,10.244514,52.714046,-10.664434,-20.168121,24.888615,10.466208,-21.335644,24.404572,-13.068435,-17.969362,12.785474,13.066145,-19.744366,11.997973
73,1.383659,-0.226139,105.361099,-1.398867,0.42001,104.61911,-19.465195,-1.58437,150.495285,19.86252,-0.423351,149.459869,-17.495689,-1.71476,93.995544,17.03335,0.999577,91.550652,-14.974003,10.547554,55.352898,14.465342,10.742733,52.927933,-10.641214,-19.33567,24.710947,10.426047,-20.518568,24.233694,-13.063692,-16.889587,12.65405,13.026973,-18.657913,11.840671
73.5,1.395249,-0.240036,105.420921,-1.413218,0.413418,104.683334,-19.458241,-1.639854,150.536987,19.854778,-0.453194,149.521042,-17.479631,-1.726582,94.071182,17.025949,1.019131,91.639099,-14.961139,11.013191,55.570492,14.434743,11.225937,53.140633,-10.617374,-18.487535,24.508926,10.384446,-19.677601,24.023935,-13.063282,-15.79314,12.505149,12.990747,-17.536137,11.651522
74,1.40478,-0.252655,105.477089,-1.425681,0.407883,104.744919,-19.452646,-1.689766,150.578537,19.847734,-0.478397,149.581848,-17.469265,-1.734203,94.142479,17.024681,1.038063,91.724007,-14.951703,11.461193,55.782753,14.407305,11.69379,53.349426,-10.593667,-17.618788,24.276016,10.341674,-18.813755,23.782822,-13.067876,-14.673027,12.333488,12.960776,-16.38538,11.443604
74.5,1.411555,-0.26466,105.528435,-1.4371,0.403049,104.804169,-19.448732,-1.734436,150.617905,19.841368,-0.500328,149.641891,-17.466246,-1.740204,94.208435,17.024857,1.054928,91.805702,-14.946522,11.887058,55.987385,14.382179,12.15052,53.55452,-10.570196,-16.729145,24.013443,10.298698,-17.934061,23.521753,-13.079303,-13.531454,12.144706,12.935361,-15.21641,11.22522
75,1.417022,-0.275833,105.576645,-1.44722,0.399014,104.860069,-19.445765,-1.776241,150.655426,19.835688,-0.517433,149.700363,-17.465282,-1.743187,94.271942,17.026588,1.069244,91.883331,-14.944288,12.299408,56.187237,14.36,12.591648,53.755066,-10.547761,-15.827221,23.733664,10.256234,-17.03257,23.231955,-13.096889,-12.376488,11.948803,12.915892,-14.020876,10.990499
75.5,1.421002,-0.285801,105.620346,-1.455187,0.396038,104.912178,-19.443848,-1.813416,150.691269,19.831352,-0.529934,149.75621,-17.4695,-1.742405,94.3312,17.033371,1.081913,91.957092,-14.945096,12.693562,56.380493,14.339835,13.013126,53.950146,-10.527163,-14.906235,23.428171,10.214199,-16.106405,22.911224,-13.120389,-11.199406,11.737904,12.904681,-12.795515,10.741422
76,1.422374,-0.295422,105.658325,-1.461931,0.393635,104.961716,-19.443071,-1.84687,150.722855,19.82752,-0.539944,149.810104,-17.480276,-1.741673,94.385635,17.041143,1.091908,92.028564,-14.94804,13.062317,56.565472,14.321316,13.421547,54.141731,-10.509798,-13.963673,23.095171,10.17357,-15.16497,22.573341,-13.151965,-9.997211,11.515116,12.89937,-11.553425,10.487325
76.5,1.422433,-0.304729,105.692764,-1.467415,0.391865,105.00766,-19.443169,-1.878441,150.750885,19.82448,-0.546669,149.860321,-17.492762,-1.740631,94.437866,17.04845,1.097649,92.09684,-14.951807,13.415569,56.745331,14.30365,13.813168,54.328945,-10.494576,-13.009655,22.746805,10.135097,-14.204786,22.214552,-13.191368,-8.780338,11.289236,12.901184,-10.289509,10.227005
77,1.421216,-0.313171,105.722893,-1.471051,0.390968,105.049057,-19.443832,-1.907272,150.775742,19.822411,-0.549488,149.906464,-17.509962,-1.738174,94.486938,17.059103,1.100304,92.16127,-14.95672,13.752319,56.919907,14.286168,14.181789,54.509869,-10.482298,-12.040184,22.378429,10.099208,-13.219414,21.827435,-13.236118,-7.543232,11.055175,12.911573,-8.995934,9.957383
77.5,1.418094,-0.321461,105.747025,-1.473292,0.390141,105.08799,-19.44516,-1.934364,150.794815,19.821331,-0.551037,149.949554,-17.531288,-1.73682,94.532242,17.069742,1.100136,92.224701,-14.959428,14.06218,57.08601,14.26812,14.535042,54.687515,-10.475465,-11.048786,21.984377,10.066157,-12.219189,21.425272,-13.291088,-6.277927,10.813061,12.92883,-7.686367,9.685712
78,1.413921,-0.329842,105.76725,-1.474463,0.389545,105.123611,-19.447298,-1.960415,150.809189,19.821484,-0.551483,149.988159,-17.552782,-1.737698,94.575317,17.079195,1.095684,92.286598,-14.95943,14.353779,57.245575,14.247993,14.869801,54.861046,-10.472012,-10.044147,21.575159,10.036761,-11.202003,21.006506,-13.353536,-4.994492,10.568403,12.952311,-6.357136,9.410947
78.5,1.40866,-0.33786,105.78389,-1.474602,0.389324,105.154762,-19.449562,-1.985565,150.819824,19.8221,-0.549305,150.022202,-17.577791,-1.739544,94.616127,17.089365,1.086575,92.345406,-14.957362,14.629955,57.400791,14.225073,15.179825,55.028133,-10.471724,-9.026768,21.150475,10.011894,-10.161465,20.565281,-13.420985,-3.69278,10.319478,12.983269,-5.001442,9.131858
79,1.402404,-0.345871,105.795288,-1.473309,0.388737,105.183128,-19.452175,-2.010475,150.824722,19.824451,-0.546867,150.052414,-17.60392,-1.743587,94.653854,17.09874,1.074707,92.403381,-14.949368,14.882328,57.547527,14.19905,15.470383,55.190353,-10.476843,-7.990303,20.705708,9.991098,-9.104206,20.110247,-13.497969,-2.366165,10.066098,13.020823,-3.628273,8.851658
79.5,1.395515,-0.354057,105.801941,-1.471316,0.387917,105.208664,-19.455484,-2.035305,150.82431,19.827934,-0.544903,150.078934,-17.628187,-1.750477,94.688393,17.107063,1.059738,92.460571,-14.934453,15.110928,57.68367,14.16876,15.741627,55.347229,-10.486876,-6.935268,20.245579,9.974867,-8.03112,19.642946,-13.581876,-1.016071,9.810379,13.063281,-2.238354,8.569726
80,1.388004,-0.362297,105.806091,-1.468801,0.386906,105.230339,-19.458975,-2.060162,150.821121,19.83247,-0.541851,150.101563,-17.653873,-1.759342,94.720779,17.114378,1.040298,92.514992,-14.915186,15.326279,57.814621,14.133876,15.988636,55.496113,-10.499078,-5.870205,19.776699,9.963956,-6.938347,19.162113,-13.669048,0.346985,9.553173,13.110371,-0.828777,8.287205
80.5,1.379976,-0.370701,105.805237,-1.465252,0.385216,105.248421,-19.46273,-2.085506,150.812363,19.83853,-0.539211,150.12027,-17.678356,-1.771347,94.749451,17.120384,1.017918,92.567345,-14.887387,15.517811,57.934914,14.093711,16.209877,55.636341,-10.516213,-4.786636,19.292538,9.95891,-5.824928,18.669781,-13.763853,1.731899,9.294071,13.16279,0.600445,8.004948
81,1.371896,-0.379105,105.798996,-1.461332,0.382988,105.263908,-19.467302,-2.11132,150.798996,19.845757,-0.537449,150.13649,-17.698824,-1.78474,94.77282,17.12554,0.993679,92.618126,-14.849833,15.680729,58.038204,14.04893,16.411938,55.768932,-10.538531,-3.680458,18.798649,9.95822,-4.696552,18.170927,-13.863985,3.14024,9.036825,13.218793,2.042751,7.723429
81.5,1.363632,-0.387703,105.790543,-1.456864,0.380318,105.275764,-19.472258,-2.137215,150.783936,19.854607,-0.535667,150.149994,-17.718822,-1.799778,94.793114,17.130331,0.967003,92.664825,-14.807554,15.830238,58.133209,14.000025,16.590332,55.88961,-10.562392,-2.564358,18.302317,9.963081,-3.55175,17.669086,-13.964841,4.557636,8.780879,13.276596,3.497086,7.446468
82,1.355147,-0.396564,105.777634,-1.451888,0.376759,105.283272,-19.477829,-2.163647,150.764648,19.864777,-0.534328,150.160065,-17.736017,-1.817303,94.808434,17.133249,0.937321,92.707146,-14.75643,15.956512,58.214573,13.94579,16.738834,55.996864,-10.589944,-1.430908,17.799206,9.974719,-2.384651,17.162308,-14.069709,5.991024,8.527035,13.33738,4.968781,7.173435
82.5,1.346991,-0.405178,105.758667,-1.446705,0.37262,105.287857,-19.484652,-2.189857,150.741592,19.876184,-0.53347,150.168365,-17.748274,-1.834034,94.815781,17.135801,0.906715,92.745789,-14.696573,16.050282,58.272121,13.888006,16.867367,56.093132,-10.621691,-0.274242,17.297318,9.990189,-1.202892,16.656273,-14.17688,7.441498,8.28338,13.399949,6.450233,6.905843
83,1.338833,-0.413845,105.737007,-1.440823,0.368069,105.28846,-19.492149,-2.21582,150.717667,19.889156,-0.532784,150.174591,-17.759003,-1.850849,94.818192,17.139244,0.875717,92.778015,-14.633368,16.127693,58.316422,13.82874,16.972176,56.173321,-10.654816,0.893665,16.800434,10.011171,-0.007019,16.158092,-14.281011,8.898159,8.046438,13.462564,7.937237,6.650963
83.5,1.330719,-0.422707,105.711502,-1.434191,0.362663,105.284164,-19.500727,-2.241585,150.691025,19.904081,-0.531803,150.177673,-17.765961,-1.868385,94.814796,17.141685,0.842571,92.80275,-14.563416,16.183765,58.345028,13.767568,17.047134,56.235359,-10.690646,2.076603,16.30615,10.038202,1.207657,15.666838,-14.386579,10.363972,7.816926,13.525463,9.433407,6.408268
84,1.322727,-0.431164,105.679382,-1.427623,0.356899,105.276405,-19.51157,-2.265778,150.660889,19.919636,-0.530533,150.17926,-17.768415,-1.883255,94.800926,17.144005,0.808941,92.821564,-14.489593,16.204918,58.34462,13.705248,17.101833,56.283741,-10.729224,3.279335,15.828052,10.068782,2.435226,15.184427,-14.488711,11.836643,7.609299,13.587693,10.934914,6.177293
84.5,1.314712,-0.43935,105.643883,-1.420206,0.350929,105.264359,-19.523464,-2.288853,150.630005,19.936541,-0.52869,150.178574,-17.769255,-1.895996,94.780373,17.14773,0.775944,92.832054,-14.415946,16.207279,58.326855,13.64539,17.134647,56.314507,-10.769092,4.491032,15.364649,10.103595,3.672371,14.720013,-14.584406,13.309261,7.417479,13.648565,12.435181,5.96831
85,1.306639,-0.447563,105.605133,-1.411369,0.344418,105.247223,-19.536871,-2.31081,150.597427,19.955902,-0.525826,150.174057,-17.766874,-1.907948,94.754066,17.152065,0.742226,92.832756,-14.339822,16.191216,58.293571,13.589093,17.141357,56.325188,-10.810578,5.713512,14.912164,10.142863,4.919334,14.275646,-14.678769,14.784252,7.23901,13.70752,13.93314,5.783281
85.5,1.298181,-0.455246,105.560318,-1.402459,0.337753,105.22583,-19.553551,-2.329983,150.561249,19.975594,-0.521645,150.167435,-17.761459,-1.916008,94.717407,17.156443,0.708065,92.825142,-14.265573,16.144154,58.232761,13.535233,17.126957,56.319355,-10.853807,6.946846,14.486875,10.185303,6.175236,13.849443,-14.764797,16.254772,7.090664,13.763602,15.429455,5.618606
86,1.289158,-0.462402,105.511009,-1.392708,0.331184,105.200279,-19.57235,-2.346375,150.523041,19.996136,-0.515797,150.157761,-17.755362,-1.920425,94.671944,17.162008,0.674427,92.808731,-14.197066,16.074688,58.15023,13.487856,17.095203,56.297951,-10.897817,8.181091,14.090922,10.230214,7.432076,13.449096,-14.839945,17.712307,6.973032,13.816286,16.915722,5.483325
