[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoki,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.89,0.668,65.06,0.359,34.94,0.152,14.79,113.94,56.42,21.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.017,,0.009,0.75,0.012,0.75,0.004,0.42,1.63,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
CV,1.652,,1.345,1.15,3.336,2.14,2.707,2.86,1.43,2.39,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.85,0.656,63.84,0.371,36.16,0.145,14.11,113.97,57.55,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,,0.013,0.76,0.006,0.76,0.005,0.45,1.43,1.08,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.98,,1.936,1.19,1.741,2.09,3.437,3.21,1.26,1.88,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
10.5,-0.641872,0.130447,103.036133,0.569811,0.070038,103.613327,-22.872553,-0.91711,147.07164,22.984848,0.004135,147.345947,-19.006264,1.054298,92.695396,18.342411,1.528782,91.497208,-15.460755,13.893444,54.069004,15.428588,13.614132,53.19149,-10.588293,14.941257,9.081399,10.468943,14.893452,8.997223,-13.777822,25.82552,3.958588,13.409052,25.979649,3.543003
11,-0.698833,0.174831,103.093979,0.621079,0.083763,103.676132,-22.946281,-0.862602,147.100479,23.059216,0.011745,147.386703,-19.058916,1.08585,92.790413,18.381836,1.517532,91.595055,-15.522192,13.717419,54.092949,15.493274,13.427505,53.213234,-10.606776,14.373798,9.091209,10.475546,14.341499,9.004731,-13.795168,25.243229,3.980857,13.416622,25.406498,3.554768
11.5,-0.751743,0.216602,103.15419,0.670799,0.096085,103.742027,-23.015947,-0.808086,147.135956,23.131065,0.020603,147.43454,-19.108316,1.110561,92.881966,18.42725,1.498257,91.691528,-15.569762,13.504642,54.107445,15.553264,13.218391,53.231503,-10.618405,13.798103,9.098712,10.479014,13.782364,9.011149,-13.806311,24.655788,4.001092,13.421828,24.828243,3.568519
12,-0.801446,0.256302,103.216461,0.719294,0.106129,103.808708,-23.082481,-0.75388,147.176117,23.199373,0.030361,147.486496,-19.152691,1.130043,92.971283,18.478231,1.47393,91.783813,-15.607444,13.265976,54.115417,15.609206,12.98769,53.244682,-10.624097,13.215977,9.104012,10.480584,13.217243,9.015366,-13.811939,24.064404,4.018742,13.426513,24.24535,3.579279
12.5,-0.849492,0.294617,103.279114,0.76668,0.114052,103.875542,-23.146488,-0.699867,147.217941,23.264885,0.040543,147.540787,-19.195427,1.146645,93.059235,18.532589,1.445251,91.872017,-15.639982,13.015625,54.120235,15.662206,12.741337,53.254238,-10.627914,12.63168,9.108402,10.481348,12.648697,9.018085,-13.816004,23.471249,4.033532,13.431689,23.65984,3.587031
13,-0.892898,0.328411,103.342072,0.812386,0.11945,103.943115,-23.205566,-0.647659,147.262634,23.327042,0.051132,147.598907,-19.232817,1.154232,93.1427,18.592308,1.411705,91.955795,-15.660823,12.731979,54.116467,15.710198,12.472664,53.258724,-10.628215,12.042831,9.111026,10.480647,12.07481,9.019004,-13.816165,22.875233,4.040626,13.435623,23.070644,3.59079
13.5,-0.932734,0.35833,103.405563,0.856809,0.121731,104.010742,-23.26012,-0.597401,147.30928,23.385365,0.061832,147.659866,-19.265245,1.154434,93.222733,18.656225,1.373928,92.034599,-15.673062,12.422085,54.106087,15.753736,12.180759,53.258377,-10.624824,11.450768,9.112205,10.479222,11.49588,9.018549,-13.812133,22.27792,4.041604,13.438687,22.478588,3.589801
14,-0.971235,0.386677,103.469109,0.900437,0.12191,104.077919,-23.312433,-0.548054,147.356598,23.441074,0.071918,147.721207,-19.295948,1.151478,93.30162,18.72221,1.333733,92.109932,-15.682125,12.103573,54.0937,15.795144,11.877331,53.255798,-10.62071,10.857971,9.113129,10.478134,10.915325,9.017557,-13.807179,21.680477,4.039949,13.442754,21.886112,3.58653
14.5,-1.006371,0.409863,103.532707,0.942346,0.119038,104.145004,-23.359907,-0.50259,147.40477,23.493073,0.081169,147.784302,-19.322294,1.137882,93.377548,18.790565,1.290611,92.180771,-15.686051,11.762375,54.077984,15.833327,11.554256,53.249454,-10.616861,10.264503,9.113688,10.477903,10.33131,9.015528,-13.802158,21.08276,4.032057,13.447418,21.291859,3.578709
15,-1.038403,0.428581,103.596466,0.982743,0.112919,104.212021,-23.402691,-0.46069,147.453079,23.540855,0.089462,147.849274,-19.344818,1.114548,93.451378,18.860237,1.244289,92.247589,-15.68663,11.402969,54.059814,15.868142,11.212048,53.240723,-10.613132,9.670975,9.114484,10.478401,9.744743,9.013577,-13.795715,20.485874,4.019514,13.451255,20.69746,3.567168
